name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
USA,1140900158,1200095829,1302833509,1525304218,1734849142,1918998096,2017120786,2164834036,1601895813,1968259896,2263619064,2334677718,2326590209,2410855481,2315252991,2249113112,2406362558,2612379159,2568396449
United Kingdom,358702943,372059502,425369492,502886199,528460952,614811648,679917918,705344164,552042035,627617527,717606229,689137009,657222527,694344323,630251056,636367940,640907684,671694256,691974112
China,243552877,295170099,412759797,561228746,659952756,791460867,956115450,1132562165,1005555219,1396001562,1743394867,1818199226,1949992314,1959234621,1681670813,1588695869,1840957052,2134987265,2068950252
Germany,486022068,490450056,601761022,718150018,779819058,922213393,1059307813,1192581753,928891167,1060672351,1261588482,1161247822,1187301534,1214915239,1053388444,1056664804,1164586085,1286008402,1236298731
Australia,64319978,73025894,89065103,109482713,125221246,139354164,165471522,200617279,165601136,201703332,234205830,251217223,234065771,228857927,201212240,189223657,221108909,227703776,214273707
Brazil,55601753,47242651,48325648,62835611,73600373,91342784,120617437,172984766,127722339,181768431,226246754,223183477,239747514,229154458,171449052,137552006,150749450,181230566,177341225
India,50671105,57453468,72430523,98981130,140861662,178212446,218645294,315712104,266401554,350029390,462402794,488976377,466045564,459369467,390799460,356686418,443852794,509273226,480002969
Russian Federation,41865358,46176989,57345991,75569019,98707260,137811062,199725954,267051242,170826591,228911659,306091490,316192918,314945100,286648774,177292667,182261653,226966390,238151373,243780553
Japan,349291915,337613133,383465329,455253888,515866391,579063942,622243338,762533922,551984753,694059164,855380476,886031098,833166057,812184752,648436328,608071916,672100072,749092207,720964449
Canada,221623725,222440058,240376245,273873699,314444419,350257147,380646626,408762165,321227568,392108702,450579506,462366182,461785080,463088978,420159796,402638902,432857722,460109333,453157219
