Code,Product label,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
'27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",13142434,13444566,13909571,17520244,27135297,29652264,32124041,59868232,45411625,61259839,75819059,74589038,65944954,65242751,48993539,47528190,66938756,88157303,88880849
'26,"Ores, slag and ash",5132594,5209684,6287321,8377894,13961088,18985494,23311012,35263943,31221494,57465744,81769453,75239943,82672582,82737635,48078901,48790095,60162390,59812341,78792909
'71,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ...",3116828,3369901,4325311,4723795,5097209,7681002,10368022,12965441,12677759,14243911,16865998,18106471,16073765,14061276,12741689,15780580,15360823,16056069,18057454
'02,Meat and edible meat offal,3251447,3194983,3394121,4728051,5142986,5259098,5476019,5986224,5145605,6101456,7298244,7487583,8451711,10513085,9953279,8256091,9108612,10230808,11573586
'28,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ...",2528549,2308505,2679121,3341549,3896956,5006119,5618406,5909530,4067217,5201292,5930983,5935227,6028174,5845863,5482557,4655032,6148411,8221188,6287919
'84,"Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof",2654740,2692933,2937679,3350342,3895269,4048770,4790913,5018533,4236899,5164125,5965645,6195883,5878785,5834900,5240101,4895637,4647056,4823465,4821965
'99,Commodities not elsewhere specified,3036660,3318096,5097247,5488056,6458834,7965022,8511202,6705073,6557452,8687031,8171656,7258972,6906559,6598131,5754214,5808544,5679487,4573164,4649985
'30,Pharmaceutical products,1108432,1003278,1416833,1869330,2402260,2537605,3254801,3290485,3148929,3616422,3794149,4402518,3350497,2552037,1751747,2365385,2526766,2979886,3787986
'85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",1682545,1426783,1629404,1922097,2027649,2130314,2506059,2635769,2157548,2469284,2832207,2895003,2716279,2758279,2635263,2695877,3114562,3227912,3516424
'10,Cereals,2955739,2925030,2014339,4104066,2915393,3448331,2238694,4383984,4426237,4705079,8065036,8673841,8110112,7459679,6471415,5089696,6585877,4844779,3442147
'90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ...",1086112,998258,1121078,1350549,1606163,1793346,2087927,2366789,2177500,2504771,2880647,2765284,2691139,2872474,2784634,2889778,3081386,3187470,3322596
'76,Aluminium and articles thereof,2576995,2472028,2632231,3174624,3653227,4798491,5304789,5221420,3468453,4458161,5273298,4569278,4213719,4173026,3543571,2888073,3146218,3853939,3297674
'74,Copper and articles thereof,890271,821574,866482,1253130,1542823,2484868,2889365,3060978,2135823,3214657,4367952,3742911,3691526,3869695,2940833,2458349,2559665,2907576,3088908
'22,"Beverages, spirits and vinegar",1104280,1385181,1661203,2102772,2214134,2192100,2608260,2235737,1941959,2116047,2162366,2188847,2026101,1907816,1890711,2004467,2375219,2530027,2538005
'51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",1843532,1975948,1679557,1908244,1781125,1796551,2317155,1934294,1453168,2055810,2946077,2647721,2556632,2196428,2220003,2269779,2873343,2985471,2259231
'08,Edible fruit and nuts; peel of citrus fruit or melons,311318,370390,366537,413961,473224,458853,487940,485911,598864,541880,553910,713612,1018049,1089052,1394123,1390019,1462269,1585599,1887921
'88,"Aircraft, spacecraft, and parts thereof",399331,944665,513803,439458,473564,461136,533000,850424,675795,623588,1135561,1199904,1353291,1509602,1375321,1540184,1523380,1671919,1855764
