Code,Product label,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
'84,"Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof",10787552,12334211,14840694,18269186,20603640,22524179,26210315,28990497,25836360,29810006,33803629,38685265,34249036,33854257,31628793,27313978,28836110,31929275,30665837
'27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",5588695,5359303,7012858,10129036,13918248,18397513,21412785,31286321,20886403,27379125,39513907,42603157,41252979,36720524,22168652,17538044,22823788,30412525,27152574
'87,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",8027961,9496461,12269574,14804290,16887644,17516916,21888678,24059846,17228309,25701468,25967149,32181247,29118050,26209230,24994363,26209167,29425288,30073956,26686584
'85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",7793550,7888983,9701280,12744071,13709755,14914997,17909523,19630596,18219777,21290863,23955302,24446154,22704011,22221615,20619796,20134841,22796477,25721923,24579940
'30,Pharmaceutical products,2150307,2659367,3322023,4510591,5173122,5253112,6468858,6849193,7206253,8620994,10440290,10268716,9404564,8474626,7253629,7773597,7872163,8176043,8377533
'90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ...",2685695,2846645,3364208,4217151,4696094,5027594,5527567,6301783,5888792,6902646,7706366,8263292,7931663,8304582,7739784,7794105,7815093,8340473,8118726
'71,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ...",1606148,1984239,2653764,2794265,3170460,5536432,6663684,9969211,8888470,8277193,9616756,8215704,6948382,5975074,5339691,7615858,6624998,6602761,6623081
'39,Plastics and articles thereof,1900667,2119278,2523896,2941021,3285521,3598489,4393076,4804096,3914981,4818819,5258871,5365631,5571864,5808832,5446241,5371535,5826002,6410427,5847678
'94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ...",824832,1033010,1352926,1829535,2047608,2299533,2816401,3285138,2835736,3442272,3885482,4263443,4344725,4432780,4406604,4281422,4387117,4825614,4560542
'73,Articles of iron or steel,1025539,1184173,1545126,2107098,2532419,2659132,3388686,4525725,3940390,4180803,5273804,6625008,6801923,6635357,6906795,4122931,4147400,5054515,4496403
'62,"Articles of apparel and clothing accessories, not knitted or crocheted",841025,965576,1180864,1376379,1618803,1679928,1849838,2126787,1998548,2476448,2787472,2923602,2976460,3078361,3074490,2959841,3111032,3347006,3372127
'61,"Articles of apparel and clothing accessories, knitted or crocheted",704269,750392,911868,1197766,1392355,1488261,1761378,1965306,1863703,2299586,2566880,2683771,2837121,2957107,3066028,2966389,3093020,3213770,3226342
'40,Rubber and articles thereof,967425,1115731,1345255,1555292,1761487,2075052,2413772,2728018,2387978,3102554,3927547,4406106,3726461,3321567,2813694,2737212,2990883,3222490,3175142
'99,Commodities not elsewhere specified,106045,401402,251038,189847,141769,167548,409514,2138803,4491139,5299187,6823098,5587146,4511875,6147898,5269612,1829801,11191241,4364398,3108930
'95,"Toys, games and sports requisites; parts and accessories thereof",717835,963424,1047010,1227804,1399379,1600533,1877773,2378801,2261296,2400132,2364790,2337446,2289294,2504612,2310789,2267002,2443687,2534222,2401427
'88,"Aircraft, spacecraft, and parts thereof",1270199,2892817,2959102,2822147,2807127,2661093,2540449,3557671,197355,258305,306444,294633,237504,291358,706683,2151675,2187756,1543856,2271876
'21,Miscellaneous edible preparations,503357,551462,693618,810010,908470,957958,1175154,1246464,1287959,1513754,1721656,1874038,1921288,1899803,1830152,1863559,1620187,1885622,2231607
'29,Organic chemicals,1716121,1593659,1918560,2286483,2610228,2773220,3233008,3448934,2894995,3499869,3523879,3455550,2614165,2566333,2477135,2316964,2402909,2434171,2185558
'33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",477890,527587,661161,765865,875664,934725,1075475,1128071,1146652,1318707,1408285,1491764,1561594,1579772,1617785,1637120,1765832,2049957,2056796
'48,"Paper and paperboard; articles of paper pulp, of paper or of paperboard",1336018,1466302,1784814,2061269,2204205,2216373,2574121,2725729,2294103,2898549,2704350,2584195,2415626,2431195,2168348,2057554,2085972,2183682,2053830
'22,"Beverages, spirits and vinegar",405307,404288,500108,627756,707342,857456,1103747,1376251,1266234,1457674,1631555,1781132,1886916,1857699,1710964,1698776,1778759,1886168,1915427
'76,Aluminium and articles thereof,339752,376899,510315,625216,774945,866523,1065614,1237503,933425,1402924,1369567,1337846,1370938,1475413,1479685,1448172,1715966,2001785,1876679
'64,"Footwear, gaiters and the like; parts of such articles",510406,585376,626384,751190,850795,923952,1036116,1163866,1080486,1292003,1360575,1533502,1560341,1608053,1670863,1637747,1668965,1738635,1781016
'38,Miscellaneous chemical products,640165,697653,764013,904389,1015578,1102274,1277071,1511692,1264060,1602127,1769177,1816900,1876361,2135428,1742975,1798477,1942956,1868228,1677417
'44,Wood and articles of wood; wood charcoal,489562,640604,804792,944354,931302,933312,1147714,1247347,1007696,1372197,1438764,1468092,1443757,1647343,1585209,1556836,1690420,1941307,1584405
'31,Fertilisers,506917,506836,591124,811041,954809,700315,923383,2188286,845729,1423206,1671173,1715074,1487654,1597336,1409562,1255905,1259675,1446895,1520776
'42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles ...",307618,328435,394102,501598,557946,577231,709949,820011,765057,870173,1005122,1114732,1180374,1219511,1202706,1229331,1322231,1531682,1452456
'19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",194481,205122,271222,342671,386795,451108,545310,645940,634288,739172,812811,874370,994195,1078907,1050140,1175507,1323684,1382154,1444975
'63,Other made-up textile articles; sets; worn clothing and worn textile articles; rags,307975,371236,443919,557530,591651,662018,780154,883016,774943,979867,1092909,1176925,1204797,1269942,1309286,1296498,1359345,1463560,1384875
'72,Iron and steel,612226,752128,964450,1303112,2036767,1826518,2293482,3234395,1622856,2302954,2229936,2203613,1591229,1631458,1319914,1143605,1472888,1702438,1251852
'86,"Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures ...",76603,178918,294427,267135,302266,257844,382331,741292,853754,1042376,1003435,1598555,1727082,1295774,887424,464052,589463,1177825,1104776
'04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ...",170254,168891,226933,259719,295697,323295,395020,586651,432991,610377,664357,639520,686923,788316,727011,793623,1001717,1052142,1003495
'20,"Preparations of vegetables, fruit, nuts or other parts of plants",203197,224385,302193,391549,407435,451082,600684,754436,679348,731326,906083,882879,863291,896290,836560,854377,937519,930775,911474
'82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",383183,433749,505353,609031,629109,639037,729416,848305,706931,841482,956260,1012686,910828,914988,842996,800549,865577,940130,908064
'83,Miscellaneous articles of base metal,298454,348210,407051,502613,543847,611860,804285,831191,793984,801540,912608,839091,974238,938022,880301,883740,950131,984372,875593
'23,Residues and waste from the food industries; prepared animal fodder,135433,182640,228540,224571,249830,308354,504759,569355,521039,575065,563143,655046,711243,724573,643276,682367,717728,821420,858997
'03,"Fish and crustaceans, molluscs and other aquatic invertebrates",315476,338719,426086,468473,505499,580213,635060,562798,573151,674197,743786,825021,881023,975401,787458,830381,843092,853727,819441
