Code,Product label,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
'27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",7726016,6981579,7460437,11448907,13465376,17142343,22337264,34292425,18866240,29954315,41968735,40191734,45807606,45039948,24919941,15142176,21551085,26233627,23960281
'85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",9658604,7042503,6773991,8709138,10469401,12914133,14747714,19969122,15586109,22251970,26400860,25493611,28275946,27013712,20383480,16942609,20725514,21757779,22083732
'84,"Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof",9679696,8157815,7789211,9327020,11620178,13728923,18550411,25654929,21024805,28546902,33714915,34681566,35763292,31888728,24813441,21124300,17404143,19096839,21297173
'87,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",3808732,2635373,2519168,3153548,4244560,5672528,8263694,12875476,11456658,17276219,22621515,21306557,22418274,19469864,13569066,9955443,11235822,14026499,12238332
'29,Organic chemicals,3366589,2963141,3106362,4073839,4337826,4800516,6376564,8412431,6970834,8440951,9396740,9916021,10736702,10687931,9292519,8327954,8436445,10593785,10961155
'31,Fertilisers,1218825,1227976,1711189,2585383,2265182,2355507,4528587,9304906,3903258,4943253,9138589,8583858,8885493,8443105,6602755,6002710,7327555,8618746,9145662
'39,Plastics and articles thereof,1911186,1817883,1846165,2383132,2889250,3408849,4231451,5760131,4790463,6521691,8104708,7967828,8849458,8849610,7121047,5916007,6533384,7336461,7369158
'30,Pharmaceutical products,1522158,1527620,1512231,1785065,2037157,2609455,3508847,4280315,4477997,6092898,6499183,6842741,7421624,7431662,6463664,6389499,6557226,7198783,7297470
'38,Miscellaneous chemical products,822809,798441,1019660,1487088,1400418,1375293,1906395,2605374,2415879,3006118,3757494,4056426,4971060,5408206,4646709,3810338,4112401,4869515,5370093
'90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ...",2139869,1838225,1816041,2373803,2887621,3504212,4563880,5989332,4874251,6095006,6304687,6468951,7140071,6761835,5545437,4757979,4858624,5500274,5324550
'89,"Ships, boats and floating structures",35957,56271,115306,14235,21921,24310,54985,71771,259402,222330,303452,272397,634635,931908,1527621,913652,179741,9869075,4592530
'83,Miscellaneous articles of base metal,138289,133667,128744,177838,224706,243258,427450,512437,388070,575739,598801,657498,752999,764759,584907,478404,555099,1581209,4048377
'40,Rubber and articles thereof,858210,845804,943218,1196197,1532651,1835193,2372675,3339878,2293411,3989152,5103139,4540173,4750930,4091342,2975235,2475581,3060463,3062561,2970373
'73,Articles of iron or steel,658238,598937,615942,806848,1037198,1279237,1833163,2813695,2399559,3161206,3628284,3899453,4557288,4087380,3186166,2130846,2176926,2455493,2441503
'72,Iron and steel,470089,328929,374492,533597,850265,1386244,1814638,3322864,2192929,4721821,3953372,3677570,3248352,3384650,2475948,1364358,1924991,2430695,2160841
'10,Cereals,1117987,1066599,1433594,1043905,879448,1286593,1825439,2367812,1768332,2061514,2372563,2373751,3112278,2389341,1575358,2313323,1848607,2029662,2145734
'28,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ...",648676,633288,695909,816122,1020605,1166479,1433041,2524368,1660531,1795023,2368337,2525736,2374884,2149522,1941111,1725144,1889302,2250957,2056587
'76,Aluminium and articles thereof,450912,365204,345420,404330,471580,597378,880326,968991,635408,1142236,1636315,1316640,1315217,1977114,1735645,1308117,1393689,1943869,1931623
'74,Copper and articles thereof,347269,251389,377095,626616,844291,1622302,2086716,2465909,1315799,2468115,2772985,2685793,2342300,1982860,1695660,1108938,1423447,1641620,1445219
