Code,Product label,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
'27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",37342350,31890278,43901108,52876446,72796028,77479961,87264297,125859105,72067220,92136370,116062698,116414785,120476545,128817558,77705375,62317007,84631706,99281193,98433244
'87,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",53075965,54633606,55366457,61769061,64765822,64825469,63957346,50846730,33716742,48777815,52864601,61297640,59276391,59993114,60384521,64285366,62375408,60486099,61438011
'84,"Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof",22420204,21346916,21923291,25204510,27889046,29933665,33396460,34290418,26240679,27941108,31431227,32811481,31088757,32644194,31167996,29897075,32281343,34460087,34773897
'99,Commodities not elsewhere specified,15841200,16095214,14858961,15400532,16223310,16292535,16351287,16722354,13013682,11934415,13052374,13582852,14619699,16994104,18672347,20232456,19241020,20436985,21889905
'71,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ...",2655076,2979338,3821269,5192347,6019389,7885289,9263416,12396462,10540730,18872997,24849650,21623779,21648451,20640343,19178179,18946378,18885606,18302307,21294078
'85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",14270751,12179186,12203665,14496499,16962658,18527788,19040593,18069433,14207375,14636292,15385650,15002184,14068785,13642593,13228986,12634616,12917798,13395189,13520439
'39,Plastics and articles thereof,7515936,7709536,8625768,10116357,11758297,12753871,12563764,12613444,9087571,10770794,12268473,12071409,12568345,13173242,12496078,12125288,12580341,13617516,12696200
'44,Wood and articles of wood; wood charcoal,12352137,12112146,12632196,16913706,16759279,15340524,12611585,9284525,6541287,8494124,9159830,10015538,12337039,12631397,11700375,13180806,14090957,14290997,11704741
'88,"Aircraft, spacecraft, and parts thereof",8557026,7421668,7913000,7267642,7984602,8815333,10116961,9528441,9580877,9631612,9787648,10242603,10502936,12439906,12368438,10268447,9939498,10657616,11275340
'26,"Ores, slag and ash",1557362,1540109,1556520,1761554,3127596,4461684,4985782,6319526,5024352,6022544,9005280,8798727,8432113,8604565,6612238,6136902,7004722,7873151,8849750
'30,Pharmaceutical products,1412499,1512632,2304236,2961724,3415163,4643396,6113111,6068482,6339621,5621449,5544779,5078547,5433162,7068652,7730508,8377911,6268821,7891356,8451149
'76,Aluminium and articles thereof,5259119,5363138,5788820,6746219,7883912,10746441,11397446,11029168,6614325,8921048,9921832,8581160,8484944,8851104,8231772,8083824,9819446,10010510,8326825
'48,"Paper and paperboard; articles of paper pulp, of paper or of paperboard",11827908,10945072,10799150,11879710,12688245,12596272,12026736,12420894,9468894,9598164,9863491,8476222,8523745,8581037,7730641,7152347,7199642,7982638,7333599
'90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ...",3162224,2793318,3027892,3618755,4231317,4841934,5032144,5598738,4785822,5261137,5922059,5891895,5918929,6115378,6222479,6215562,6681595,7051665,7236751
'10,Cereals,3014395,2344699,2431873,3240878,2839477,3887949,5518128,8277664,6223890,5577341,7046181,7522699,8072446,8753950,7339843,5624241,6279465,7191321,6738111
'47,Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or ...,4808488,4535203,4998868,5669074,5364938,5864989,6824409,6798756,4640944,7078706,7604177,6757051,6829094,6782783,6302581,5748336,6384636,7514296,6019114
'72,Iron and steel,2199960,2813058,2971729,4098858,4814333,5494409,6113768,8482138,4472312,6845286,7771283,7278474,6699000,7176810,5629712,5266797,6649213,7297215,5979226
'94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ...",5357166,5456390,5644763,6229648,6590240,6674857,6213567,5447955,3594735,4227019,4578403,4716594,4667938,4940571,5281840,5666561,5725681,5790126,5946951
'02,Meat and edible meat offal,2876515,2793203,2698981,3541957,3933900,3474917,3563207,4091613,3592087,4291117,4782181,4597583,4582895,5255395,4597310,4701081,5015457,5110884,5620208
'12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ...",1440869,1258725,1691297,1934566,2000828,2608008,3640300,5603235,4786789,5457841,6837006,8387662,7316321,7639734,6800702,7182990,7863475,7589136,5612139
'31,Fertilisers,1876411,2020655,1840078,2326041,3109517,3021947,3875317,7376596,4195965,6041684,8056595,7374406,6604651,5573389,6190046,4278073,4555219,5525339,5607950
'03,"Fish and crustaceans, molluscs and other aquatic invertebrates",2413779,2721117,2886275,3040018,3119311,3145643,3237110,3253653,2893684,3396783,3697968,3706709,3833659,3992050,4189680,4414735,4800702,4923909,5176760
'73,Articles of iron or steel,3538363,3621344,3504939,4423061,5143298,5587205,6081674,6416340,3920604,4500945,4821646,5358737,4921887,5167090,4997133,4404321,4946802,5433432,5030254
'07,Edible vegetables and certain roots and tubers,1189629,1095608,1260695,1471044,1713676,1910179,2379281,3038882,3023295,3365292,3667332,3168943,4274825,4451198,4883816,4832111,4494375,4088383,4375676
'19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1001729,1169781,1387478,1546034,1711584,1863227,2048137,2181761,2092793,2343944,2538049,2610155,2743744,2876760,2992806,3183057,3322882,3762176,4098735
'28,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ...",1771437,1801700,1917416,2330570,3434464,4018414,5981174,5125790,3493147,4328445,5796288,5004822,5100323,4079197,4070102,3730258,3418913,3591452,3545986
'29,Organic chemicals,2391852,2238427,2418413,3708875,4233376,4636759,5268639,5243183,3322807,4324801,5262618,4639383,5053584,5016940,3435590,2950420,3551240,4088671,3313421
'40,Rubber and articles thereof,2582125,2602904,2657199,3030794,3308140,3384057,3478549,3354070,2783628,3476511,4035134,4220112,4033271,3788350,3287632,3164492,3171048,3296657,3291563
'15,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ...,453884,453170,638939,1024589,846371,1072880,1449760,2303604,1712101,2533187,3759246,3953219,3369327,2792231,2631502,2898743,3214788,3333067,3226980
'74,Copper and articles thereof,1311449,1169920,1159171,1816819,2374541,4073750,4632541,4601223,2413618,3304724,3556177,3238043,3407874,3527933,2943618,2595151,3394026,3567050,3044814
'75,Nickel and articles thereof,1460199,1510976,1794210,3345714,3524409,5315431,9935604,6746559,3035311,4928812,6659253,5246228,4612561,4767998,4133057,3111646,2843583,3160884,2981760
'38,Miscellaneous chemical products,859343,881238,986936,1244501,1341582,1417406,1664346,1998071,1659455,2067573,2311868,2503173,2426973,2573184,2362345,2425594,2375923,2598011,2662392
'23,Residues and waste from the food industries; prepared animal fodder,511270,524540,551188,631949,569629,587346,679394,865930,833463,1171583,1509085,1951900,2161952,2284177,2133573,2108670,2235571,2455861,2427773
'33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",663477,716937,833245,992779,1135773,1206691,1329475,1452369,1293503,1512506,1642034,1652279,1742063,1796478,1798625,1844400,1930801,2187853,2148725
'20,"Preparations of vegetables, fruit, nuts or other parts of plants",709335,723302,883995,1028142,1010181,1070733,1205434,1304685,1273789,1229977,1343362,1427408,1490625,1516355,1571338,1618886,1750808,1899997,1934558
'21,Miscellaneous edible preparations,632903,686079,748204,981232,1136618,1266006,1291306,1351701,1254468,1361452,1510224,1564557,1556625,1566980,1548994,1492289,1639263,1792862,1846297
'18,Cocoa and cocoa preparations,482646,553120,732704,759466,748299,751760,781237,829284,697967,941508,1009901,1059013,1122188,1240651,1403281,1529777,1539044,1510371,1668069
'79,Zinc and articles thereof,563520,573039,573275,740750,785116,1659870,2064392,1361188,999903,1311436,1287908,1129945,1136877,1162901,1169531,1202932,1401272,1847751,1567123
'83,Miscellaneous articles of base metal,957349,1011472,1063234,1169457,1271454,1255389,1268563,1031765,737121,948148,1092445,1161867,1153482,1224304,1255225,1307031,1337525,1463024,1530278
'25,"Salt; sulphur; earths and stone; plastering materials, lime and cement",876593,876240,982777,1083089,1287467,1290315,1470697,2930051,1110793,1333085,1579784,1436744,1245720,1272269,1333565,1155762,1314123,1512906,1495673
'01,Live animals,1546990,1593162,932709,659980,1266325,1772424,2260800,2192972,1433360,1626397,1435682,1621261,1824440,2445299,1919095,1613485,1436377,1322278,1492401
'68,"Articles of stone, plaster, cement, asbestos, mica or similar materials",757968,767517,762043,865449,918117,1009476,1032617,997210,827393,854617,966116,1012880,1031903,1063026,1051611,1120090,1162518,1220467,1238996
'22,"Beverages, spirits and vinegar",996649,906347,956949,1006951,938185,997724,965563,925452,785611,876184,957763,988389,1026279,910052,882983,919148,949473,1046199,1197771
'32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring ...",593880,611593,648588,719692,809196,901060,924398,851089,607607,751390,910008,1001578,881390,931269,906328,936491,1006794,1043643,1070710
'62,"Articles of apparel and clothing accessories, not knitted or crocheted",846620,860508,886991,903424,843371,827935,711721,585816,443263,502186,555148,565948,608225,669366,686539,667443,744124,850050,954845
'17,Sugars and sugar confectionery,443131,452695,597490,602647,663762,712393,758996,819588,717293,828256,893890,919227,920975,935295,940288,946084,945578,974598,945989
'16,"Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates",556410,541079,593951,633823,667756,690740,608710,605928,493219,591965,650038,743212,743549,812614,841877,922487,896593,907953,924877
'11,Products of the milling industry; malt; starches; inulin; wheat gluten,336247,366982,373846,411389,417826,458139,601992,866706,768255,666912,773947,835348,854488,921124,907625,903035,938721,914395,908925
'95,"Toys, games and sports requisites; parts and accessories thereof",843899,948645,1028062,1010043,1020169,1032420,1179226,1219407,1067156,1213371,1253152,1055655,1132596,1056638,1193594,1052318,1022812,885044,905056
'34,"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial ...",403935,449957,465002,527394,546117,626359,607614,643502,608152,666238,769547,854456,910601,911305,893675,820994,817118,860695,844294
'49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, ...",1306235,1391464,1476916,1487888,1616700,1597738,1539586,1371675,992306,1055106,1013554,983692,899881,970344,986861,876717,819162,807915,809289
'96,Miscellaneous manufactured articles,92151,87120,90307,100470,120531,138743,166371,142167,115032,125030,134504,724949,783108,867727,849639,813541,728965,759616,798288
'82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",441734,460915,538265,503904,521340,680156,759100,842290,569507,722125,743843,812839,749242,724504,731628,718904,751249,789386,705067
'08,Edible fruit and nuts; peel of citrus fruit or melons,183870,196342,242610,294301,344205,431544,458648,468693,369869,398491,537621,629585,574523,587688,659414,602060,585901,685028,687996
'09,"Coffee, tea, mat� and spices",129007,126507,144919,158904,177077,197793,213611,243723,278255,385657,558527,551376,520840,547650,611012,651131,727620,630058,634127
'81,Other base metals; cermets; articles thereof,276858,312165,305764,564349,511230,510200,740320,902445,403424,473686,558075,469500,420545,497206,440597,402834,612931,832136,576883
