Code,Product label,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
'87,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",38226911,43398334,46182086,49704350,54302175,59846198,64254907,59584921,43443793,58628172,64253063,70748497,71678996,70526488,66902553,67411507,74276985,75416831,74437306
'84,"Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof",39999890,38544991,40748146,45073768,51440625,56191250,58483508,59880374,46480407,55356850,64281944,67529517,65794411,67555368,63581120,61803865,63479648,68990383,69213760
'85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",26007786,23323803,23978752,28148718,30973230,34400755,37903334,39974351,33728449,41418342,45459152,45425159,45396363,44090197,41371892,39645283,42847552,44930601,44164737
'27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",12410805,10936319,15161630,19426072,28895981,32022776,35491661,50621958,30222172,39569739,53260064,51440584,50276771,47806725,29652018,25267942,29776747,36727553,33230646
'39,Plastics and articles thereof,7539611,8027947,8701669,9765651,11284946,12242897,12605198,13253130,10670246,13084903,14537388,15086166,15352878,16071861,14951442,14730401,16039919,17001357,16359458
'30,Pharmaceutical products,3960763,4520934,5749501,6596507,7441804,9124652,10123052,10716712,11594029,11835438,12483158,12296136,12114262,12478393,11407912,11381455,11725777,12558779,13856742
'90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ...",7878486,7300893,7773479,8828915,9390695,10038764,10317464,10956501,9866232,11238777,12609733,13469155,13244644,12819718,12277570,11953702,12308181,12605026,12641746
'71,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ...",1451565,1618963,1732680,2701133,3689630,5287149,6365254,8540988,8342423,12618845,17633181,15320514,13768768,12731060,10939455,10530980,9751781,8804328,10329746
'73,Articles of iron or steel,4547037,4633375,4906383,5566050,7031175,8211322,8562252,10171630,7322779,9124159,11058048,12197971,11653745,11715283,9789080,8444577,9804444,10811312,10325229
'99,Commodities not elsewhere specified,4791711,4068091,4111760,4457989,4692723,5389694,6605798,7428081,5175253,6222018,7141684,7312522,8497934,8688897,8305382,8182571,8784122,9790580,9606221
'94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ...",3605219,3756972,4083611,5034015,5706644,6631483,7478928,7798936,6225237,7624359,8226199,8977169,8989145,9214660,8754396,8763201,9272225,9346361,9177184
'88,"Aircraft, spacecraft, and parts thereof",5047722,4543535,3479653,3760624,5340995,5226900,7042960,6999958,5532611,5413231,5755852,5647964,6519593,7782769,8856882,7075135,7699642,8409971,9015736
'29,Organic chemicals,3682116,3652565,4093310,5153888,5800768,6703355,7379273,7266167,5534446,6394068,6205466,6102203,6422824,6626057,6328084,5440199,5936770,6811144,6308063
'40,Rubber and articles thereof,3295310,3433095,3507816,4036499,4527060,4903617,5150646,5415001,4805590,5790347,7151780,7394468,6818685,6702848,6186584,5794880,6245422,6467722,6295600
