Code,Product label,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
'85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",51299483,65113879,88957089,129652028,172313776,227476356,300306615,342083349,301099032,388755010,445756705,487322454,561288340,570924486,600292287,557061947,598974916,664425033,670997854
'84,"Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof",33579011,50807100,83377291,118132244,149694351,186569169,228588523,268671157,236009996,309813672,353763873,375899473,383152558,400834160,364536627,344804517,382926132,429953148,416975731
'94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ...",7559205,9854222,12895125,17318596,22361426,27955148,35977021,42832799,38936958,50584032,59336352,77886190,86414579,93374119,98734456,89500005,89816692,96416994,99499770
'39,Plastics and articles thereof,6696694,8036055,9978477,13105642,17782741,22224404,26585024,29808557,25274692,34696577,45420906,55194044,61753142,66789420,65835653,64035659,70645690,80135877,84386942
'87,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",4777141,5792861,8097016,11823065,16594447,22373090,31810264,39273457,27931282,38397962,49539445,55117129,58549754,64192713,62651637,60416649,67358135,75094321,74366536
'90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ...",6445848,7362081,10557580,16218177,25479425,32610361,37084861,43331345,38914169,52109780,60684983,72631372,74530412,74001396,73779680,67870303,70648126,71444014,72995669
'61,"Articles of apparel and clothing accessories, knitted or crocheted",13455949,15983674,20678076,25802555,30870775,44900427,61509358,60877450,53762969,66710933,80164561,87045225,96792727,91991730,83842271,75026960,71972535,73525495,71440138
'73,Articles of iron or steel,6012422,7261984,9446842,13746152,19032492,26784042,36739592,48419118,33781144,39143621,51196168,56156107,57347766,60637042,60629517,53101329,57301335,65558408,69554449
'62,"Articles of apparel and clothing accessories, not knitted or crocheted",18952050,20582500,25079038,28980870,35030828,43720322,47371752,52490143,46716321,54361478,63073873,61224360,68251874,81445116,78506716,72766740,73591016,71448039,66798309
'95,"Toys, games and sports requisites; parts and accessories thereof",9081946,11600682,13279362,15091568,19123739,22637392,27152345,32815301,26489520,29306702,34304910,35619114,35847098,38552900,42739073,44752051,55259517,56730622,62798229
'29,Organic chemicals,4598784,5567158,7131466,9092485,12132620,15542157,20595299,29094633,24229862,31451721,39292337,40408414,42201531,45442905,42683948,42177868,49731545,59795623,56814767
'64,"Footwear, gaiters and the like; parts of such articles",10095770,11090084,12954806,15202613,19052503,21813377,25350737,29720438,28016268,35633851,41722333,46811268,50761328,56248574,53609479,47803884,48437783,47135169,47803893
'27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",8404769,8435304,11114261,14480415,17622652,17770064,20877744,31773205,20384070,26674613,32275552,31017957,33799248,34451695,27946007,26849906,35453364,46630492,47035193
'72,Iron and steel,2237555,2307112,3417265,11466727,15089710,25131810,39958005,53473073,13481835,28931498,39877628,37117672,38621005,55478832,49223944,43413076,43073950,46917053,39463924
'42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles ...",6988198,7828005,9511144,10258925,11420303,12403779,14327787,16989376,15115638,20845585,26892327,28243843,30673232,30365883,31106911,28046821,29118206,29703611,29587779
