Code,Product label,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
'84,"Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof",105862653,114000759,133526460,166927740,185513739,211893720,241145282,273433223,204752727,221343169,261977941,245246444,250238898,256523585,221514216,220421950,248051372,272509150,260678163
'87,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",99602313,113754203,136907771,156100869,170403425,185193623,221716832,236906476,163379152,203378737,247545183,235528646,243242057,259437100,241453521,244154605,256940930,263870692,243684728
'85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",66896400,69640180,79953242,100960167,110351179,121308374,133019987,147928357,114227517,134931068,148727317,138383492,142979931,147300174,130043235,136072867,149505476,163964937,158735646
'30,Pharmaceutical products,16675513,16125774,21581911,32139331,36289507,42537526,53256207,64490118,63229557,63752870,69041420,70387759,74817967,79703686,75297186,75898005,83769470,96420262,90355441
'90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ...",22481749,24875460,28863829,35859919,40726161,46389769,51583081,57434153,48767435,56519903,66133349,63981334,67218291,68773985,62100114,64872029,73331967,79980015,79340480
'39,Plastics and articles thereof,24737104,26898597,32092085,39530991,44670212,50476790,58157913,56033340,48159173,53506444,61505198,57420579,60550317,62934869,56058285,57400821,63173991,67669156,63235015
'88,"Aircraft, spacecraft, and parts thereof",17161646,16843350,16430440,17910919,19348107,25143652,26006254,30460490,31153093,30958318,37731494,43481830,44010555,43724995,43903025,45039677,42387778,41426489,42273213
'99,Commodities not elsewhere specified,22753353,21802714,53516676,66265235,37399255,45077185,88476965,55039173,35272323,40387556,43927564,43973921,44470082,49045735,42874710,41835600,38393487,38038307,35213486
'27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",8273183,8774788,11325801,17021422,21086046,28334651,30314239,38852041,24070186,26674381,37098662,36757402,36403369,35393107,29750472,22997923,26126339,33199216,34217651
'73,Articles of iron or steel,10978184,12131132,13665112,17472934,21490443,26056731,31238204,37696776,27585072,28465858,34546209,32016850,33214417,33351869,28581438,27998994,30433550,33514332,31307200
'38,Miscellaneous chemical products,8421831,8975521,10654618,12079007,13156534,15487753,17830458,22490965,17972292,20901282,25065719,22886160,24817743,25631887,22569561,23397952,25007284,27134471,26287243
'29,Organic chemicals,13977113,14682263,17302259,21371385,23183357,27459100,29785683,32706694,24598734,26080901,29386266,28755619,30147608,30422383,24002787,22736857,25025705,26854205,25884311
'72,Iron and steel,11023435,11745452,14413579,20452864,23567126,28464567,35661431,40181818,22986411,29591780,35737415,31431707,29105625,29075503,23115784,21449439,26263655,29111225,25662414
'48,"Paper and paperboard; articles of paper pulp, of paper or of paperboard",12159003,13438264,15605471,17664131,19500965,21294211,24021524,26532347,21838202,23880019,26026101,21932663,22195531,22506071,19011056,19141635,20089085,22176364,20747987
'94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ...",6587692,6973461,8062764,9367508,10697706,12256918,14760223,18044575,14796804,15366753,18331296,16982244,17247450,18092091,16269778,16811935,17314210,18628722,17849169
'71,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ...",3507049,3481260,3586900,4649552,5652991,8158681,9519626,12414641,9954770,15174860,20985870,19610798,16711362,14159600,12072578,12648050,13025040,14277863,17688234
'40,Rubber and articles thereof,5558533,6281581,7667222,9300393,10211728,11500743,13362934,13749617,12129505,15070377,18868366,17610579,17896432,17853481,15279484,15466029,17123784,17931476,16681659
'76,Aluminium and articles thereof,7165355,7538628,8635346,9945118,11225113,14582724,17114098,18315420,12818762,13651578,17751770,15559977,16212864,16966653,15540960,15164438,16425780,17736745,16570594
'32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring ...",5885088,6602781,7641748,8670123,9140893,9961124,11101557,11131559,10065752,11350847,13145027,13131560,13840809,13992986,11826889,12006348,12870189,13637741,12974632
'62,"Articles of apparel and clothing accessories, not knitted or crocheted",4522973,4991512,5646158,6442136,6950792,7707111,8901959,10709889,9281599,9115006,10553406,9484482,9710127,10172223,8347614,8583596,10530548,12276548,12540356
'33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",3403462,4019156,4972455,5647427,6163442,7030617,8481286,9823432,8899959,9689154,10747773,10510698,11132375,11119241,9686353,10042356,10591776,11652263,11669604
'74,Copper and articles thereof,3774606,3738417,4154674,6111526,7222307,12532914,14361795,14817671,9308318,13772575,16880493,14893274,14024380,13696397,11065502,10359977,12269946,13252150,11606701
'61,"Articles of apparel and clothing accessories, knitted or crocheted",2470253,2804488,3481782,4155675,4768807,5349573,6153610,7805094,7388985,7933875,9184559,8166651,8587097,9290273,7830957,7949465,9787282,11103946,11344252
'04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ...",4468150,4040227,5266713,6224952,6745007,6982974,9004014,10190147,8340689,9316398,10904970,10192285,11950270,12394298,9208331,8797405,10386510,10530547,10570082
'28,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ...",3779265,3859410,4281460,5174947,5699897,7138878,8677404,9586268,7642455,9005555,10714398,10067735,9450639,9792367,7954086,7549782,8530580,9268451,9843580
'44,Wood and articles of wood; wood charcoal,3787966,4407540,4932123,6107813,7242100,8320165,9956098,11039495,8255276,8602359,9274825,8245089,8764114,9149940,7863351,8164120,8850717,9845533,9522691
'82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",3629317,4001590,4650171,5682872,6140329,6945715,7859625,9146286,6735141,7631250,9004951,8670881,9101396,9690862,8519402,8667025,9406017,10150930,9457741
'02,Meat and edible meat offal,2414665,2783817,3030165,3797273,4803667,5652146,6204915,9157524,8401056,8496138,10121048,10032460,10379106,10003939,8064658,8474031,8983367,8547412,9156739
'64,"Footwear, gaiters and the like; parts of such articles",1374298,1703058,1862390,2249018,2530348,2856430,3271395,4254948,3789074,4072996,5418371,4504555,5137204,5815619,5078414,5846026,7451125,8589605,9025381
