Code,Product label,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
'84,"Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof",71293604,71944067,82242243,94238777,107013863,122440391,132890771,154808993,115902013,132043855,153582664,141566012,143223900,150690852,133529218,136600446,149636920,165367365,160080887
'85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",60680959,58837218,68113044,84300861,93083095,106220272,112507137,127505766,104898750,129150664,140639973,127073558,128309197,135488445,124422759,130624922,145974142,159502590,151425861
'87,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",41901913,46924494,57428778,65117619,68304982,77850350,87378808,96370121,77956645,78832835,98288123,93137319,96717171,104943731,99637622,110237824,121633396,133631931,135811576
'27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",42665629,41285224,51974441,65990880,89553862,111333688,111712186,168178024,108473416,124577582,170967239,167120272,168930182,150875583,99538587,78391782,92430886,116003944,109332047
'30,Pharmaceutical products,8962798,16224677,18708749,24062638,28630705,32482860,38729776,45617869,45240304,45150772,48571203,43534211,45232159,49293263,45206793,48332745,53380330,57240725,59626718
'39,Plastics and articles thereof,14561202,14892439,17091452,20664522,24445125,28714837,32426481,39603224,29729862,36314491,43095517,40306562,42601675,44633003,39148473,39900156,44363841,48641085,44939425
'90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ...",15101169,14977355,16992604,20029409,21931122,26338926,26940463,32065088,27687170,30985656,36655058,35058170,36512289,38824894,36431014,37943245,40332783,44220658,44087852
'29,Organic chemicals,17239146,12454501,14944082,18892593,20844698,24433754,30493899,32948593,25652648,28611708,34894146,32770947,33504683,34284120,31284768,30101191,34464654,46180996,40488941
'72,Iron and steel,9422220,9358040,11368414,17141723,21869048,26864492,35429039,43942530,20384729,29198475,38260023,31127646,29730527,30440969,24999129,22952641,29046380,33183153,27657155
'73,Articles of iron or steel,7590049,7704750,9041488,10857412,12785598,15235104,18505147,24893044,16902664,18902508,24252467,21883027,22523854,23745846,20589849,21107447,22970219,25740670,23961591
'94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ...",8291766,8517182,10149970,10860906,12062649,12917532,13710198,17330402,15157878,16597216,18996042,17935231,18897192,21275585,19202177,20235085,20551564,21711123,20961254
'71,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ...",4428136,3989268,4088101,4766517,6866257,9415237,11635129,14695849,11762885,16339242,21511896,18936589,18936096,16286420,16193917,16889537,18962435,19465699,20470291
'61,"Articles of apparel and clothing accessories, knitted or crocheted",7747889,8016808,9447100,10311482,10784112,11805995,12914407,15479385,14804902,15960895,18493086,16213623,17638019,19009509,16965911,17467314,19051641,20233915,19635639
'62,"Articles of apparel and clothing accessories, not knitted or crocheted",10446063,10454465,11509663,12506342,13022316,13940559,15087177,17382907,15954898,16417745,19604080,17315175,18074683,19079335,17019569,17493559,18495676,19690767,19348019
'76,Aluminium and articles thereof,7098498,7374331,8401709,9331775,10238956,14410035,16700286,17912713,11370024,15678199,19256744,16775834,17123330,18210609,16943124,16559971,18139324,19739888,17572788
'88,"Aircraft, spacecraft, and parts thereof",14008861,12239372,13096000,16605720,19568218,25564282,20054084,24160565,24508515,26881931,25992138,24155718,27056496,28635210,25242736,20094612,17702722,16932985,17122151
'38,Miscellaneous chemical products,4351301,4703728,5245664,6657613,7750054,9311954,10831747,14270403,11913121,13433647,16392007,14582014,14869537,15665791,13401530,13718924,14893871,16531248,16157599
'40,Rubber and articles thereof,5260873,5647683,6818490,7901886,9243090,10584897,12609920,14320200,11176105,14563196,19885966,17268323,17539464,17286523,14514094,14846076,16026823,16897963,15363181
'99,Commodities not elsewhere specified,21074115,18589215,53120492,69598135,33549278,43230936,98146272,16847408,16546600,15607255,17207455,14459203,13116353,14110404,12764861,12544873,13886366,15349988,14725670
'48,"Paper and paperboard; articles of paper pulp, of paper or of paperboard",9413850,9878298,11390449,12255593,12766473,13803502,15319579,17491195,14350552,15077786,16636761,14689132,14885188,15658495,13340242,13366372,13862397,15044754,13971259
'64,"Footwear, gaiters and the like; parts of such articles",4184156,4262741,4680651,5020416,5564553,5962208,6377277,7671729,7084964,7998333,9857017,9103276,9984905,11212626,10583977,11180353,12507009,13203500,13275162
'08,Edible fruit and nuts; peel of citrus fruit or melons,4290187,4520389,5337653,5751514,6348734,6836458,7494336,9178580,7942348,8239828,9019318,8774771,10119320,10142480,10127807,10375666,11292982,11847078,11165983
'74,Copper and articles thereof,2932387,2668940,2996684,4557493,6089865,12705381,13856969,14399396,7853155,12156307,15604506,13515820,13398205,12270464,9863768,9094201,10873706,12200846,10574988
'04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ...",3271327,3719384,4554797,4998333,5071179,5841881,7041864,8397842,7123212,7631638,8586594,7959657,8854456,9279740,7569431,7630277,9323843,9610978,9437226
'26,"Ores, slag and ash",2516820,2387500,2302151,3916070,4895523,6848987,8410317,9383057,6268439,10047987,13346623,11203412,10263926,10108017,7238481,6521820,8580368,9140651,9362726
'44,Wood and articles of wood; wood charcoal,4041802,4058130,4644908,4919472,5431102,6365974,7125287,8041223,6502470,7606811,8885553,8118593,8602223,9178325,8011678,8333299,8711073,9599868,8791896
'22,"Beverages, spirits and vinegar",3450814,3845447,3910647,4199710,4855012,5362605,5961374,7569101,7350223,7372115,8686168,8450657,8811344,8434767,7187465,7501575,8057833,8641794,8556134
'95,"Toys, games and sports requisites; parts and accessories thereof",3097974,3497719,4159186,4240088,5103764,4978469,7373209,10644397,9172355,7165461,7810380,6545846,6152359,6698588,6644488,6605242,7833284,8942588,8547345
'33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",2507347,2691282,3055742,3479233,4151180,4351678,4934778,5806193,5268208,5738946,6335860,6244350,7104690,7266602,7039343,7420443,8140139,8655655,8306817
'02,Meat and edible meat offal,3458650,3506219,3701987,4176229,5037367,5252852,5750000,7831335,6579012,6647389,8124135,7616971,8019578,8053835,6683492,6977102,7666016,7996203,7627654
'28,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ...",3153744,2943184,3193843,3546728,4173654,5583385,6630919,9564720,7092431,8579676,9617232,9395934,8240062,8320648,6902282,6436341,7198852,8145123,7451746
'07,Edible vegetables and certain roots and tubers,3169106,3333367,3683585,3806520,4366814,4861190,5180636,6254309,5712068,6346020,6337346,6162338,6918632,6697690,6154302,6499629,6944417,7229192,7112446
'32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring ...",2452786,2532973,2914203,3310498,3610442,4077249,4677569,5524825,4500664,5738679,7125521,6829511,7591512,7661636,6286975,6410921,6886981,7151649,6605605
'12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ...",1769124,1805415,2245553,2362367,2226782,2311872,3092285,5117630,4292396,3949403,5416682,6308790,6691072,6111406,5332041,5476424,5935920,6199055,6101501
'82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",2275571,2264822,2610656,2948985,3291814,3678768,4352287,5743865,3969520,4569453,5746334,5352752,5292828,5776531,5181345,5251787,5679018,6222619,5941636
'70,Glass and glassware,2545887,2635891,2858940,3220301,3668405,4048255,4634814,5785443,4551781,5194443,5789598,5226534,5612677,6084690,5211411,5563983,5854485,6241799,5801383
'20,"Preparations of vegetables, fruit, nuts or other parts of plants",2505292,2740854,3247163,3604560,3946757,4299373,4677986,5683554,4902719,4802892,5705837,5466712,5480834,5632504,5165411,5096894,5627660,5860971,5623419
'83,Miscellaneous articles of base metal,1848690,2064925,2391386,2766936,3366193,3808655,4346100,5287172,4051946,4631684,5294549,4871380,4981592,5324690,4742630,4958544,5282677,5718411,5460726
'18,Cocoa and cocoa preparations,1280239,1525832,1923994,1921496,2077893,2145330,2665166,3336895,3592471,4139919,4683644,4180785,4253288,5050919,4763111,5171772,5035967,5150192,5240031
'19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1403968,1621317,1847595,2103411,2387193,2474574,2676350,3497133,3222465,3158794,3602270,3505741,4081721,4349655,4184249,4386613,4762971,4956958,4993659
'34,"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial ...",1346981,1567596,1875575,2086595,2495346,2699205,3029873,3653325,3368125,3666468,4220203,4037816,4318143,4490999,4049700,4168894,4498842,4922088,4883564
'42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles ...",1836966,1731950,1925717,2082233,2294268,2489176,2885291,3534877,3073465,3399362,4135564,3837391,4176612,4589273,4368096,4430238,4659609,4858629,4858093
'03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1852969,1754948,1844609,1969168,2453000,2854778,3061678,3668235,3642867,3782914,4349102,4006371,4376147,4816276,4000337,4456020,4660217,4665205,4529521
'63,Other made-up textile articles; sets; worn clothing and worn textile articles; rags,1657718,1724094,2170692,2419117,2561487,2732925,2977498,3728359,3359857,3796012,4697645,4054564,4121304,4513194,4036983,4176833,4340397,4647873,4529330
'23,Residues and waste from the food industries; prepared animal fodder,1662745,1753998,1829518,2141381,2281017,2497786,2849733,3874588,3712151,3708171,4185038,4530762,4778908,4760091,4154912,4106262,4294631,4629830,4495081
'47,Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or ...,2418440,2367534,2616995,2971389,3180871,3621792,4301441,4950117,3219001,5085071,5443333,4499747,4702225,4549405,4175873,4085258,4420925,4917009,4292942
'09,"Coffee, tea, mat� and spices",1359208,1278135,1437288,1690807,2256998,2724529,3189540,3653404,3287895,4127118,6063789,5409033,4473580,4895512,4638333,4589056,4826919,4468492,4132726
'21,Miscellaneous edible preparations,1391066,1484399,1810249,2126635,2370366,2557490,2872196,3623833,3609510,3225666,3012241,3154042,3407434,3660314,3214175,3442251,3711002,4036920,3963697
'15,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ...,962534,1188851,1454793,1867958,2270127,3400840,3894177,5043796,3456241,3986568,5838883,4529343,4828495,4708877,4046297,4325113,4482146,4246046,3883403
'68,"Articles of stone, plaster, cement, asbestos, mica or similar materials",1639624,1629550,1738421,1854055,2052713,2326353,2545286,3260926,2541051,2917362,3517544,3287612,3308570,3576475,3265170,3375771,3578794,3939769,3864266
'86,"Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures ...",681154,921058,1133454,1291280,1544440,1762333,1520897,2346700,2249115,2361923,2225696,2231441,3114609,2849711,2642458,2699230,3072600,3189205,3616350
'16,"Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates",1144375,1176740,1327160,1539320,1858805,2032312,2319277,3027471,2697726,2616393,2985123,3060321,3101616,3029926,2664073,2793324,3122491,3544212,3338784
'96,Miscellaneous manufactured articles,866471,861130,928307,1080845,1298204,1378895,1424639,1770270,1549998,1707374,2006205,2827154,2991271,3243495,2814236,2976110,3131063,3356155,3222180
'06,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",1670334,1840454,2008801,2230586,2494770,2472451,2585483,3627938,3417158,3470130,3935954,3608248,3466143,3511354,2946793,3087814,3143055,3404508,3199194
'10,Cereals,652553,743144,835628,899679,1034568,1254096,2003642,3050762,2461458,2370016,3362412,3090809,3311229,3422781,2866914,2723969,2745069,3164874,3195136
'69,Ceramic products,1753388,1646558,1858052,1956341,2027892,2204911,2381953,3076865,2501497,2757634,3141186,2908306,2923442,3177658,2911036,3064303,3145486,3393563,3185909
'49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, ...",1672104,1903262,2182420,2156379,2225061,2202231,2496332,3150761,2905681,2619658,2826038,2515864,2379718,2656041,2566283,2836037,2840907,3187485,2933380
'24,Tobacco and manufactured tobacco substitutes,1458902,1492532,1683567,1759595,1680107,1815403,1941003,2483536,2644007,2335859,2907179,2422675,2451574,2652227,2161979,2147536,2459006,2771556,2855809
