Code,Product label,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
'27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",2147820,2328489,3622507,6125151,10498489,18004641,23622377,32868445,24021691,37984132,56556789,54380880,69571281,62348539,30886308,27711952,35883624,48695001,44081090
'71,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ...",7018818,8878519,10665637,12642292,16144617,15787463,19100981,20175390,32598057,32464564,50015590,43089690,44157662,40703544,38754314,42954820,42592735,40148216,36650342
'84,"Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof",1582696,1696456,2218056,2921051,4061576,4956297,6115705,8108795,7167493,8149768,10752338,11070052,13126148,13596129,13226299,13555803,16638119,20468680,21158021
'29,Organic chemicals,1624657,1988194,2556221,3285629,4442587,5777481,6515983,7907098,6967465,8592662,11145939,12549688,13340364,12035145,11238710,11251529,13560668,17815579,18296277
'87,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",871642,1038849,1513055,2248181,3204943,3655463,4077858,6088681,5717294,9285872,10280635,12199645,13800069,14481959,14072173,14986445,16210611,18277490,17188139
'30,Pharmaceutical products,1047143,1259038,1565562,1909033,2345727,2992352,3833764,5005349,5011360,6096125,8259853,9602441,11731941,11663326,12540352,13041098,12888409,14330253,16124969
'85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",1321087,1388740,1766313,1959760,2639347,3751289,4704936,7014484,9624450,8706451,11744262,10762483,11275864,9002330,7936052,8216851,8796251,11869233,14672931
'72,Iron and steel,919366,1480495,2402866,3499059,4333672,5188770,5983152,8198676,4386433,6996228,7925589,7699795,10206482,9080606,6313661,6435870,11712092,9969914,9665316
'62,"Articles of apparel and clothing accessories, not knitted or crocheted",3240605,3290585,3339291,3755449,5075899,5438101,5243923,5883940,6124697,6038004,7937483,7429975,8743400,9055716,9347025,9049966,8999578,8082832,8599203
'61,"Articles of apparel and clothing accessories, knitted or crocheted",1803788,2208447,2576915,2659525,3124754,3576970,4129437,4381111,5187319,4566025,5807252,5466347,6959257,7482487,7778225,7909095,8350043,7580562,7908865
'39,Plastics and articles thereof,785881,956697,1142274,1900849,2222790,2661760,2689966,2816753,2331508,3630341,5465281,4936166,6222703,5398297,5004809,5212533,5923073,7881740,7425253
'10,Cereals,899682,1558939,1396163,1831274,1915272,1588583,2770923,3912219,2986630,2923681,5371013,8729057,11592455,10059331,6807081,5554096,7336902,7736248,7383962
'73,Articles of iron or steel,1038460,1081309,1422646,2029733,2748111,3229853,4455594,6190164,4289001,6367666,6501245,7677706,7347626,7518711,6502482,5820015,6654666,7102866,7246870
'52,Cotton,2126177,2148578,2170780,2482097,2612085,3510154,4408541,4548480,3194769,6889856,7795538,8568855,11293952,8883916,7468171,6261683,6919232,8111055,6261658
'03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1235527,1350221,1276086,1144271,1466662,1478405,1555336,1327321,1412386,2163676,3211758,3282148,5033651,5358639,4577744,5208502,6648730,6397360,6143340
'89,"Ships, boats and floating structures",49847,56388,115197,341319,648909,782638,1289958,2618988,3763158,4223337,7048272,4124615,3597492,4556552,3997778,3221453,4607559,3555020,6033302
'76,Aluminium and articles thereof,314472,426921,359653,410609,656996,770067,1037811,1247398,979112,1328025,1423415,1579450,2078003,2582504,2686382,2732376,3652286,5170393,5276981
'63,Other made-up textile articles; sets; worn clothing and worn textile articles; rags,1092756,1203647,1506131,1834698,2381251,2344686,2329821,2421585,2318889,2902514,3850462,3973042,4712820,4613244,4616971,4564260,4962267,5240724,5150843
