Code,Product label,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 '84 ,"Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof",161318654,165420426,174756454,205712898,228042378,250076929,256322763,255213353,207524194,255407350,294378904,315095389,311300329,331205458,330115022,315350475,348601309,385903156,379040916
 '85 ,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",154545799,155000919,161089132,188922896,211734514,233603613,253600325,256521117,217770988,262956516,283319355,296413164,303213067,319671075,333441518,335582652,355997429,366942844,352305359
 '87 ,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",159333058,173086566,178076264,194371112,203103648,219008537,218153543,198654781,133354532,185981678,206182707,244174855,253081966,265323956,284367161,284712023,294283172,306526967,310085731
 '27 ,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",122031851,120731508,161037920,217233149,301444841,345157650,372341595,501942112,279146203,364169509,462775842,432713698,389365180,358259447,200765568,163138185,204019057,241728103,210111736
 '30 ,Pharmaceutical products,15939189,21687101,27975057,31449154,35706264,42583047,49205767,52907314,55904583,61975885,66150067,65004006,63313660,73042299,86036037,92512013,96879111,115634522,128237981
 '99 ,Commodities not elsewhere specified,48542426,49180575,47904165,50069776,55217814,59013960,61218527,64319181,55301867,56113571,60460054,66834557,70889599,74105015,85009827,86398617,90992566,101450435,113246611
 '90 ,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ...",34846409,35310256,39367222,45253338,47650939,51346296,54743106,58263423,50803943,59793862,67081200,69799847,72111007,76226166,78499989,80548282,86045384,93394668,96852214
 '94 ,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ...",23228342,28931025,32597544,37266768,41229825,43932046,44882684,41919409,32472699,41278015,43058201,47855696,51335977,55782891,61188722,63153427,66961240,72058613,67172665
 '39 ,Plastics and articles thereof,19131740,21514537,24273391,28252482,33660468,36421957,36459734,37712492,29906968,36909554,41407087,44249296,46376567,50128863,50232989,50376130,54722640,61847821,60576462
 '71 ,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ...",26066337,26559766,28160322,33360225,37219358,43955833,47582536,48673086,37191801,52859464,67032353,62822893,64465513,64072251,60197557,67280606,59864977,60780357,58072472
 '29 ,Organic chemicals,31833344,33626717,36797929,39170843,41686073,44617241,46143289,53415321,45810683,48869923,57130766,54537754,54538159,54711121,52029680,49783079,46099039,54597723,54546172
 '61 ,"Articles of apparel and clothing accessories, knitted or crocheted",26857682,29100678,31057464,33037964,34850598,37199805,39650951,39028121,34668152,39949253,43285857,42598146,44423860,46627468,48516197,45417624,45748924,47698336,48241179
 '73 ,Articles of iron or steel,13859142,15318980,16262412,21203543,25825526,30343135,33716364,40156844,25569371,28272508,33880172,39709307,36250209,39706132,38716050,33605579,39124654,43251680,41126391
 '62 ,"Articles of apparel and clothing accessories, not knitted or crocheted",31687314,32265765,34674530,36930620,39308173,39680699,39269256,37335435,32127205,35696560,38246891,38089455,39319973,39099513,40574913,38551531,37807716,39029999,39281623
 '88 ,"Aircraft, spacecraft, and parts thereof",21249763,17715802,16977332,16345046,16436486,17695781,21990600,21689117,18465618,18911013,21633822,24411528,29585078,34469899,35312588,31042720,30918574,31929207,34949980
 '95 ,"Toys, games and sports requisites; parts and accessories thereof",20257123,22726014,22569760,23691889,26263260,27616473,32758380,33407939,28277723,31168652,29019702,28315060,27923982,28882918,31285970,30456454,32704516,34410852,34116749
 '40 ,Rubber and articles thereof,9327043,10803515,12131633,14430964,16931778,18602037,19834835,21519684,16255988,22948120,29248048,29862326,28699419,29053980,27907364,26164158,27903315,29954125,30083549
 '64 ,"Footwear, gaiters and the like; parts of such articles",15233718,16160285,16411264,17403647,18906893,20199991,20404470,20502445,18245270,21928568,23651479,24863320,25776428,27044539,28725336,26550453,26607287,27543110,28192906
 '22 ,"Beverages, spirits and vinegar",8730936,10234630,11541629,12455970,13813682,17126693,17942474,18039813,15476651,16502697,18692822,20748026,21130293,21206260,22200613,23291688,24675284,26087265,27555438
 '72 ,Iron and steel,10486632,12431094,10946596,24015697,23617014,30703542,27078829,33608976,13052702,22516681,29666949,30452428,26732093,36000222,27865426,22460117,28816848,31096552,24617010
 '76 ,Aluminium and articles thereof,8478000,9275145,9924379,12971163,15898312,19418646,18577935,17999351,12003361,14721255,16206445,15969678,15678772,17114460,17865196,18732153,23380915,24244392,22290706
 '08 ,Edible fruit and nuts; peel of citrus fruit or melons,3890937,5044300,5505736,6001580,6704104,7307133,8240369,8609051,8933831,10005583,10918610,11378334,12472835,13969901,15427980,16716509,18097735,18911887,19547138
 '44 ,Wood and articles of wood; wood charcoal,14962948,16808379,17719422,24497344,25574461,24635701,20062680,15182757,10501017,12193618,11982385,13720213,16103856,17434640,17999425,19517700,21103062,22606015,19304575
 '03 ,"Fish and crustaceans, molluscs and other aquatic invertebrates",7861793,8417553,9230497,9313817,9922896,10852428,11362504,11510223,10639903,11827209,13351400,13349819,14689190,16689405,15489096,16366242,17901328,18516223,18501028
 '48 ,"Paper and paperboard; articles of paper pulp, of paper or of paperboard",15001702,15465224,16037482,17953430,18963477,19985566,19348959,19447867,15563130,16539108,17051646,15994575,16317941,16969186,16683938,16236525,16370537,18092217,17332676
 '63 ,Other made-up textile articles; sets; worn clothing and worn textile articles; rags,4882563,6014734,7113235,8409663,9703184,10628884,11229657,11010309,9908282,11856454,12464556,12712647,13405321,13901702,14894146,14603419,15347600,16251687,16870810
 '38 ,Miscellaneous chemical products,4578929,4987776,5472455,6435702,7333605,7849302,8924073,10574442,7593671,9057387,11094768,11477673,12382801,12661231,13188476,13835878,13830418,15285439,14681814
 '33 ,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",2944761,3366524,4757381,5985712,6871287,7161178,7691684,8270993,7229899,8242518,9140577,9755253,10774901,11546996,12078371,12543663,13539722,15074333,14584487
 '42 ,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles ...",7114079,7565704,8022114,8846944,9381208,10145022,10711610,10786934,8556312,10524278,11721894,12730972,13412700,13871141,14446914,13177536,13475025,14374674,13288145
 '83 ,Miscellaneous articles of base metal,4603693,5318984,5683563,6765713,7804289,8660160,9205697,8552504,6581301,8244955,9121224,9848332,10425061,10820839,11554606,11584356,12082713,13309124,13217089
 '28 ,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ...",6759953,6955012,8338870,9195583,11280156,12639091,14960773,18606158,11827118,15008633,18553609,16764901,15438101,14264020,13149170,11761557,11530697,13360534,13073878
 '97 ,"Works of art, collectors' pieces and antiques",5448370,5221246,4412783,5337611,5530845,6692046,8770618,7498465,5062701,6275655,6925172,7823687,9095188,9219535,11685363,9873756,10397546,11796790,11803588
 '07 ,Edible vegetables and certain roots and tubers,2961114,3490307,3995368,4480596,4734629,5264333,5731027,6099354,5832223,6992850,7780993,7950329,8768945,8953995,9285296,10309868,10287827,10935876,11487649
 '82 ,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",4307940,4851674,5405601,6000875,6241295,6977183,7280936,7191924,5509227,7097241,8021453,8646202,9054555,9492938,9803366,9383516,10120910,11214622,10716015
 '74 ,Copper and articles thereof,4689715,4261030,3929134,5710087,8149813,14396823,13242155,11832500,6406773,8943270,11550838,10335313,10729669,9706143,8407212,7542739,10100352,10958954,9623137
 '20 ,"Preparations of vegetables, fruit, nuts or other parts of plants",2635086,3073096,3547151,3887487,4303476,4700912,5710720,6407056,5653660,5935851,6938875,7238043,7276820,7432227,7720831,7939717,8558105,9298642,8982271
 '19 ,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1922014,2350742,2683233,2938763,3240377,3544659,3908596,4227793,4149527,4622234,5113064,5380812,5664325,5888333,6291156,6893175,7362989,8175083,8809105
 '02 ,Meat and edible meat offal,3801463,3939610,4030747,5274262,5294202,4658348,4785312,4513183,4140878,4721984,5258149,5781030,6021621,8433931,9361387,7908001,8203506,8427161,8764365
 '21 ,Miscellaneous edible preparations,1428866,1708025,1877502,2287414,2531436,2838027,2972069,3125913,3100978,3515704,3863748,4152740,4304949,4339798,4393004,4511230,4805669,7940758,8571087
 '68 ,"Articles of stone, plaster, cement, asbestos, mica or similar materials",3485694,4105709,4520232,5419524,6313995,7109817,7081668,6290595,4504549,5062562,5503277,5946884,6696907,7246553,7788227,7820997,8399895,8881315,8526274
 '70 ,Glass and glassware,4153961,4526107,4816219,5458343,5687869,6131551,6241729,5970370,4641642,5737945,6106290,6377071,6613678,7446792,7876963,7824466,7933153,8712065,8150759
 '09 ,"Coffee, tea, maté and spices",2159527,2338765,2752648,3016871,3640837,4044779,4620504,5369072,4887596,5942352,9384949,8352471,7186051,7881468,8176535,7939328,8661637,8029704,8055220
 '31 ,Fertilisers,1913776,1808652,2395112,2846065,4101012,3767728,5444950,8925031,4385484,7067568,9624939,9268855,8448269,8644423,8394350,5766540,6060859,7135839,7033449
 '69 ,Ceramic products,3757018,4483270,4949185,5420538,5909710,6326328,5934193,5417767,3962698,5059830,5653017,5713728,5954835,6357267,6442390,6275329,6655369,7188848,7007825
 '96 ,Miscellaneous manufactured articles,2766604,2985685,3080588,3444513,3627664,3792341,3956188,3799995,3305963,3862341,4092756,5266534,5465746,5836809,6360707,6703164,6414610,6756069,6831349
 '15 ,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ...,1185808,1406279,1632234,2331332,2474134,2912416,3550936,5450215,3980883,4549092,6861383,6219968,6118468,6154634,6018218,6402909,7182323,7081797,6459230
 '16 ,"Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates",2334152,2649937,2900103,3210301,3413027,3866502,3736839,4000141,3719027,4011990,4584104,4669225,4731038,5113541,4958910,4808516,5428448,5982315,5654695
 '91 ,Clocks and watches and parts thereof,3048492,3299369,3709609,3904354,4037011,4166768,4543612,4425177,3153272,3837532,4928487,4932923,5230110,5515521,5812183,5134308,4898229,4814299,5208398
 '18 ,Cocoa and cocoa preparations,1540155,1839310,2532767,2604088,2906187,2803720,2786092,3433912,3592364,4415589,4806674,4216249,4279325,4851677,4983840,5208799,5145881,4856588,5127504
