Code,Product label,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
'84,"Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof",53301011,50479982,55002058,59722434,63702188,74270278,73183295,69966645,53872695,58467343,68543899,66520131,70532997,71611244,64402456,60334401,65387357,72382471,73019511
'87,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",21591133,26790443,30445175,35860100,37657140,39017332,46039948,44638915,28592235,37930397,46022808,47533882,50994806,54409455,50740491,51311032,53731073,54702459,50451093
'71,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ...",14357648,11832516,12308752,15546675,23123309,18797713,20176564,36911933,16719130,30067524,63753440,37465019,99889282,53630284,55057705,28516697,33180458,47432822,42516199
'27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",22620995,23320249,25714217,31245851,36941625,43928931,46758839,62694618,39981963,52817507,66058612,66486254,62365066,55018455,32985991,25744099,35362905,46430792,40963393
'85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",43247225,43277782,35827297,38359198,51713340,84337196,37221645,36374522,29538091,31997922,34474656,30753213,30928795,31900654,29127479,26836762,28458545,28873806,28331394
'30,Pharmaceutical products,12875156,14855626,19214537,21732803,21057804,25080694,28310258,31305624,30518882,33219881,33157245,33101563,32094368,33567373,35973438,32579905,32714027,30082207,26928329
'90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ...",11356906,11093405,11909245,13847623,14777655,16076887,16437784,16853841,14630175,15946439,17826312,17312614,18569927,19473521,18411597,17122246,18010277,19092477,19830188
'88,"Aircraft, spacecraft, and parts thereof",9253344,8838577,10535609,11798029,10937868,11956991,25718,14260075,11996565,13804991,15952456,16736449,17851668,16667281,18999600,20532348,20981530,19319816,18325803
'29,Organic chemicals,9457001,9336896,10745748,11948186,12965707,15652458,14952120,16395644,15423138,14727388,17442890,17382642,12765620,10770074,13948039,9903234,10576287,11302425,12630359
'97,"Works of art, collectors' pieces and antiques",3032872,3992307,4759979,4587405,5445849,5168856,6678925,5252372,3394441,5288618,5443082,7475596,6901778,7748696,9240768,7167176,6551025,7182779,12366156
'39,Plastics and articles thereof,6861465,7355721,8593158,9931159,10880606,11418412,12305590,12580629,9661771,11096547,12810866,11802259,12088983,12816238,11821145,10947608,11892715,12385306,11861729
'99,Commodities not elsewhere specified,929167,944319,823908,767552,884886,1479713,28290520,2856503,2574177,3076114,4461922,5273537,5512539,13568524,6055684,12054914,8925942,21332985,11255977
'22,"Beverages, spirits and vinegar",4846264,5093136,5884598,6254148,6594761,7056291,8416234,8702607,7973845,8854712,11146396,10907910,10985422,11000506,9874431,9484600,9797750,10506148,10243288
'38,Miscellaneous chemical products,3955259,4409379,5026433,5681896,5863294,6244738,7009234,7811959,6446958,6552934,7550689,7274250,7420988,7999114,7312616,6301860,6376771,6912362,6976227
'72,Iron and steel,3626953,3855249,5269720,8160593,9293394,9600655,12314557,13583276,6843528,8958991,11383938,9771624,10133063,10280414,7270786,5358195,7005198,7881141,6562686
'73,Articles of iron or steel,3291055,3471499,4114205,4653220,5294943,6048400,7391463,7419001,5833746,5350746,6299050,6417569,6528900,7110552,6082764,5289536,5335652,5697233,5761208
'33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",3055830,3351756,3937126,4318308,4247210,5063792,5531470,5345265,4697422,4953391,5691014,5543976,6129798,6389094,5504745,5501126,5853739,6013978,5729221
'62,"Articles of apparel and clothing accessories, not knitted or crocheted",1988867,1995389,2305093,2616152,2533345,2739632,3165811,3202876,2754335,2904117,3543906,3698593,4194220,4802296,4713198,4472622,4470525,4559051,4503104
'94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ...",1925341,1886757,2127010,2564665,2724912,2905677,3431590,3236376,2324475,2496110,3021402,2976736,3150711,3653743,3598697,3589127,3985953,4044078,4260079
'61,"Articles of apparel and clothing accessories, knitted or crocheted",1453801,1585338,1861003,2172925,2090118,2213831,2587711,2496598,2242715,2332465,2807105,2675838,3287939,3685645,3570594,3433028,3559720,3899872,3925304
'49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, ...",3003645,3410762,4031546,4620430,4491720,4553755,4643111,5002298,4385872,4246909,4372655,4229027,4193938,4354592,4124527,3590794,3689230,3832929,3636291
'32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring ...",2311709,2574892,2922349,3188434,3384580,3483714,3583239,3809185,3037047,3278019,4089642,3449207,3607929,3853864,3370148,3282844,3526120,3692538,3450305
'48,"Paper and paperboard; articles of paper pulp, of paper or of paperboard",3106117,3209466,3576328,3877558,3947082,3985067,4488950,4660035,3763169,3821425,4076638,3486789,3603217,3689671,3079762,3006842,3045325,3274468,3059426
'76,Aluminium and articles thereof,2093398,2115918,2213050,2799940,3327601,4166070,4759921,4726412,2529462,3450136,3830292,3227701,2919297,3227561,2928558,2686579,2844393,3241850,2885346
'21,Miscellaneous edible preparations,849237,894934,1065695,1303446,1318128,1440719,1664049,1754634,1609996,1801843,2116668,2085121,2283419,2687457,2596065,2589153,2710870,2977567,2866622
