name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
USA,729080423,693068308,724736587,814844394,901041417,1037029247,1162538143,1299898877,1056712081,1278099190,1481682203,1544932013,1577587254,1619742864,1503101487,1451459685,1546462344,1665992032,1645174330
United Kingdom,279425458,285996255,312059895,355027950,392744017,458598558,454005490,482020962,359615542,422014113,517288686,481225752,548041857,511145442,466295677,411463357,441847325,490840357,467512254
China,266098208,325595972,438227765,93325585,761953405,968935597,1220059669,1430693065,1201646762,1577763752,1898388434,2048782230,2209007282,2342292695,2281855923,2118980580,2271796140,2494230189,2498569866
Germany,571426720,615997391,748531267,911742096,977131972,1121962887,1328841354,1457462959,1125844050,1267743104,1483802554,1410146324,1450937518,1498238430,1323665116,1332489067,1444776367,1556622939,1486462772
Australia,63288194,64984164,70288232,86484039,106011057,123324469,141181511,186853010,153899577,212108725,269423388,262678461,256678558,252680286,191320121,189389230,229722179,254525415,272579613
Brazil,58286590,60438650,73203224,96677242,118528685,137806189,160648874,197942440,152994743,201915105,256038703,242578017,242032979,225098407,191134323,185235400,217739183,239889204,223998670
India,43878491,50097953,59360658,75904206,100352636,121200608,145898050,181860897,176765034,220408494,301483251,289564768,336611392,317544641,263889007,260963960,295862151,323997681,322786379
Russian Federation,99868398,106692002,133655687,181600380,241451655,301550663,352266397,467993948,301796062,397067519,516992616,524766421,527265916,497833536,333501799,285491049,357083140,449347156,422777169
Japan,403344076,416729387,472006871,565761138,594940865,646725061,714327036,781412163,580718738,769773826,823183762,798620021,715097242,690217465,625005916,645589406,698021626,738164250,705842012
Canada,261058776,252584265,272229693,317161191,360552445,388178677,419881607,455632186,315176827,386579902,450430009,454098964,456598267,475177174,410688691,390195637,421161325,450790347,446562308
