Code,Product label,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
'27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",2092496,2951225,3796209,4421900,7100427,10590298,16095971,23295610,16268550,23413368,31619307,31419996,22400639,25202959,13748088,11581278,18723141,29670809,30039342
'12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ...",2756980,3069982,4338706,5473852,5425243,5753769,6818711,11095858,11565087,11177846,16531284,17682008,23027209,23500132,21207738,19557938,26008460,33517529,26455603
'26,"Ores, slag and ash",3128625,3192320,3643940,5237143,8024755,9756785,12026268,18726625,14453094,30839061,44216554,33244371,35082728,28402213,16693435,15816099,22397927,23663011,25256609
'02,Meat and edible meat offal,2552739,2751280,3640954,5548729,7178620,7341255,9613344,12290140,9894846,11878431,13722876,13702959,14786231,15417191,13077586,12655793,13953384,13292305,15152373
'84,"Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof",4241830,4247023,5649702,7806168,9772378,10944425,11528703,12548912,8061762,11083762,14084439,13880628,12890246,12727864,11361268,11647181,13848540,14791209,12465285
'72,Iron and steel,2846741,3459874,4701983,6709819,8548649,8793266,9534401,12845907,6723337,8388003,12013889,10711044,8372284,9605030,8927018,7892012,10761291,11804871,10898635
'87,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",4427345,4479909,6048385,8394716,11544078,12345378,13354406,14672404,8463879,12138412,13760890,12569532,14089285,9808166,9604507,10971033,14723998,12652789,9178720
'10,Cereals,510537,274915,417720,827819,195675,607991,2042627,1931169,1635286,2606445,4032748,6551761,7068140,4438189,5724924,4109624,4980607,4621016,7917163
'47,Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or ...,1247590,1161240,1744467,1722373,2033898,2484050,3024190,3917369,3315277,4761677,5001622,4705931,5185987,5298146,5603405,5575279,6355349,8360265,7494171
'23,Residues and waste from the food industries; prepared animal fodder,2165331,2298913,2711796,3400931,2997947,2589384,3190563,4686967,4879596,5038398,5988326,6902049,7140575,7363381,6171801,5538918,5394735,7168012,6297322
'17,Sugars and sugar confectionery,2401080,2211653,2291543,2821831,4102456,6347522,5284290,5695703,8568261,12954731,15154129,13030316,12013920,9616253,7781310,10585665,11566378,6672492,5404730
'09,"Coffee, tea, maté and spices",1339977,1331394,1423614,1891914,2669066,3124651,3604222,4373494,3980212,5398682,8324918,6022760,4954276,6536042,6046077,5228087,5010002,4699592,4862624
'71,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ...",538104,596880,574529,694954,787415,1080116,1332859,1630811,1802220,2340755,3041651,3324189,3281400,2875116,2755268,3375748,3306017,3346363,4175570
