Code,Product label,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
'85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",55881167,73244911,103918388,142313337,174835242,218965743,256822547,266514884,243756119,314282498,350954252,381520999,439417537,424319488,431610860,414337517,455494791,521542155,496832132
'27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",17516515,19321334,29247554,48026771,64088956,89098435,105175401,169251777,123970041,188965812,275766337,313066988,315232252,316787667,198679762,175813094,247578520,347782297,343636632
'84,"Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof",40534480,52143473,71490876,91601140,96283691,109122425,124189663,138795536,123717219,172150025,199313752,181960039,170570903,179377721,157189653,147754410,169779652,202317919,190308746
'26,"Ores, slag and ash",4175734,4280721,7174904,17272580,26032520,32164433,54042715,85936803,69590904,109386524,150655638,133727965,148772300,134660947,95064522,93160255,125380730,135914467,163605608
'90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ...",9775006,13478876,25134198,40147012,49963325,58859709,69534544,77708548,66996321,89919369,99140733,106145649,107588269,105806107,99721428,92641354,97414143,102526375,98661866
'87,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",4531523,6473907,11786514,13102352,12309091,17051798,22137268,26962790,28363242,49504235,65438574,70596739,74147799,89509494,69607641,71481212,79231361,81492534,75125428
'39,Plastics and articles thereof,15258513,17378440,21030344,28055531,33308205,37832892,45333716,48862558,48513919,63704657,70198652,69424491,72390786,75190305,65609923,61006719,68949683,74867230,71578324
'71,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ...",988025,1332398,1847279,2655036,3469747,4616207,6256667,7547713,6550563,10846861,14911410,13219293,18339649,41893506,17957139,15694323,14331075,61958709,60540892
'29,Organic chemicals,8975877,11156031,16005816,23846481,28019360,29859484,38426695,39237189,36163021,48263067,63131991,60864293,65876608,60312892,47878739,43865355,55761871,67391000,57806523
'74,Copper and articles thereof,4886829,5667665,7166205,10476488,12896362,17186658,27167348,26051361,29513125,46183467,54251470,54516255,49828688,47278407,38388299,33236165,41196624,47646537,40807909
'12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ...",3343988,2777080,5659944,7371415,8158744,8117202,12266321,23182453,21005837,27061892,32020530,38582565,42626755,45887757,39817320,38274346,44497829,43371567,40158355
'30,Pharmaceutical products,986162,1130288,1391569,1571740,1958711,2394219,3450974,4911230,6015012,7236105,10347763,12993175,15096015,17752095,19227237,20734931,25250504,27900028,33614184
