Code,Product label,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
'27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",15772369,17915591,21790343,31163899,46322206,61431974,73249469,115880438,82661824,110840658,157356407,185696088,184194009,176948969,104602898,89304176,123052836,169337423,153515316
'71,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ...",9688315,10113454,12550551,17731200,23323162,21433385,27494085,35093293,42613699,68629982,93596866,81575919,67499912,59844363,59669076,48127265,74273984,65076268,60003049
'85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",2970876,4348003,6284532,8297680,11062924,14054980,18511763,22453763,24517614,25547227,32261003,29649046,29790256,31923374,35948213,37003361,46825344,52622009,50380048
'84,"Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof",4228862,4846004,6353816,8617591,12886219,17610912,22333133,28526463,23766902,27770549,35489437,36226292,31945783,31193506,32065645,32514067,35989487,43347407,44058900
'29,Organic chemicals,1769715,2061590,2882023,3791797,5101118,5803705,7464652,8892134,8490287,12115816,14028692,15243285,16960213,18238883,15926662,14766330,17957975,22659707,20542164
'39,Plastics and articles thereof,717843,881619,1151602,1498888,2427797,2814552,3730382,4468324,5134342,7327235,7999615,9281085,9984763,11801179,11346650,11390534,13002678,15237235,14642078
'72,Iron and steel,1058117,1130065,1556413,2714594,5310354,5567005,8374232,10772430,8462675,10701340,12945475,13739630,10118914,11293135,11693203,8713203,9954351,12039816,11574128
'15,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ...,1499245,1682067,2467015,2459470,2428452,2331946,2583877,3165219,4942595,6440535,9228135,11003560,9819957,10643657,10484733,10490719,11868841,10165081,9606429
'90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ...",1141866,1282334,1501247,1811512,2562328,3010365,3848479,4648190,4612137,5286217,6113793,6877255,6762689,7050922,7192546,7237095,8436896,9491645,9493302
'31,Fertilisers,433482,379292,501524,695595,1661202,2647563,3903902,12283853,6063789,6162320,8711778,7876499,5958024,5697579,7464006,4588630,4241865,5947995,7332699
'28,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ...",1109014,1191774,1181777,1543543,2351001,2524829,2795553,4881157,3226197,3665171,5357327,5541654,5100315,4996262,5074451,4820578,5585119,7293125,6980440
'38,Miscellaneous chemical products,464568,553712,635202,870696,1100106,1352078,1606712,2327977,2378180,2967897,3640605,3615723,3843405,4257000,4031383,4408576,5231135,5957042,5734034
'87,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",250978,366207,492702,750249,995295,1272953,1902883,3263166,2753327,3951602,5049019,4977219,4584893,4808146,4951825,4762336,5490829,6235886,5402127
'89,"Ships, boats and floating structures",354478,757214,859838,1435260,1858714,3242407,2888879,4808466,3022661,3620545,3352906,6158533,7004947,4893401,4742349,5480356,4392997,5334732,5241076
