Code,Product label,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
'87,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",81834941,94003364,104240347,117956519,125125825,141692243,160286459,172203050,102611440,146752176,148057286,162912237,148549339,142513899,134043807,141942983,146212304,154053727,148853467
'84,"Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof",83443804,84237911,94671219,115508705,119492626,125937162,139370157,151143767,102014175,149983652,171275654,158868912,135210902,132442709,117653230,124105996,138382124,147932351,137115223
'85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",90393865,89793418,104242672,123066337,122272074,128037362,134991385,138579773,107398782,131394319,129538857,125888528,108269705,104055254,95621176,98251173,105537243,109422593,103041447
'99,Commodities not elsewhere specified,16099018,17030541,19245600,23643711,26158185,30288111,35597167,36873328,34258520,40038676,39383472,35510098,35791397,35844356,37085260,38221709,44060363,45598508,44943815
'90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ...",27696845,23094279,27576100,36405426,35915997,35448421,32632215,34317337,28638238,39608709,45564628,45639130,40113653,40369373,35743707,35893024,39817757,41310078,39079520
'72,Iron and steel,11165202,13166203,15762494,21202598,24366283,25960476,30148181,39199765,28401604,38863614,42164020,39466746,35321039,33383028,27507123,24535747,27981775,29935869,26100302
'39,Plastics and articles thereof,9344442,10483746,12198819,15387230,17442243,19637301,22047871,23851994,21716206,29268430,30381895,28521794,25703699,25267573,22499546,23431011,25138705,26132999,25218431
'29,Organic chemicals,10818433,11502028,13495347,16487837,17853006,18585801,20792577,20308474,18909162,22101571,24658484,23400562,26293882,23446471,17914884,15954704,17875569,18929194,17857709
'27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",1509132,1403800,1559003,2288223,4454452,5897205,9280318,18776418,10530650,13048254,16293954,13434368,16682632,15824801,11403317,9381717,11377042,13366072,14013288
'89,"Ships, boats and floating structures",8450210,9214523,9808298,12244920,11802051,14056889,15522860,19824122,22191074,26036895,26054791,22229715,15383770,12913707,11406337,12908471,12275762,12618369,13803534
