Code,Product label,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
'27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",70407178,65676010,81203209,99505958,133125308,161732160,172787320,267787474,152488996,199138617,274651704,302532031,281585332,262106100,150829820,111087814,141338775,174777167,155708846
'85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",44614693,42397495,48041030,57794024,61438648,67733115,73682740,77694445,64897332,86420642,92475646,96878439,96790538,99346235,90196179,90003917,97744484,101197257,98779207
'84,"Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof",38360129,37201620,41285264,48650560,52218673,54692019,55675215,59000515,46059225,55928963,63804128,64191475,62315608,65041607,59514288,59578570,65258537,72923575,70541412
'90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ...",13703436,13197627,14952444,17825398,19769372,22960024,20984114,21545585,18162639,22500498,24957021,26617239,24542882,24824258,23256740,24214790,25533419,27640346,28231407
'30,Pharmaceutical products,4220540,4614304,5298039,6255592,7278865,7589921,8326827,9948901,13058253,16205875,19973677,23043343,20864258,19899057,23159863,24433788,22456535,25526988,27227564
'87,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",9798290,10283228,11730595,13567792,13865579,14218742,15264840,16056508,10927187,14541440,17803523,21201128,21158822,21566267,19101925,20933300,22423522,24599995,23761560
'26,"Ores, slag and ash",6489192,6512031,7495482,10230150,14399059,20794943,25398456,28365438,20086810,32065373,38873411,35467093,32122611,30114001,20949787,17366432,20841405,22441893,22215880
'39,Plastics and articles thereof,5367820,5420582,6320363,7518260,8546321,9431500,10194753,12071352,9781035,12687121,15314969,15705627,15086321,15472557,13775237,13958507,15054978,16921612,16174956
'29,Organic chemicals,8096324,8078830,9335165,10708710,11441386,12256528,13043666,15583269,14080886,16243965,19190556,18311845,16164353,15210857,14198195,14441736,15896664,18227666,16107280
'62,"Articles of apparel and clothing accessories, not knitted or crocheted",10281326,9499969,10378031,11265442,11380755,12050454,11842215,12473169,12095315,12624650,15887353,16411345,16099773,14788452,13524669,13359822,13563272,14708493,14301882
'61,"Articles of apparel and clothing accessories, knitted or crocheted",7740568,7063936,8004279,9189611,9785815,10377968,10755334,11743171,11974511,12644529,15223586,15635886,15683593,14576466,13314721,12939183,12810747,13781060,13663490
'71,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ...",5940106,5698973,5715159,7691077,8427950,10478852,11659604,14084198,8143821,11552673,13958349,11678231,11804746,10257189,9296147,10010729,11097416,12539720,12772660
'99,Commodities not elsewhere specified,5806900,5928343,5733226,6949057,7890676,8854777,10217730,11949353,10238481,11961617,12320946,12201048,10484568,10460788,10687242,10592055,11299775,11736701,11873794
'03,"Fish and crustaceans, molluscs and other aquatic invertebrates",11155370,10972372,10584206,11524853,11537940,10856450,10217593,11593229,10524336,11660625,13559427,13950474,11782899,11450350,10251459,10816178,11721651,11884397,11540850
'02,Meat and edible meat offal,7445184,6729978,7525188,7793443,7978290,6514603,6787250,8293695,7390242,8553454,10320111,9892929,8762419,9605656,8596179,9133433,10086320,10407491,10843065
'44,Wood and articles of wood; wood charcoal,9851572,9225510,9921430,11579420,10879401,11845929,11864017,11182544,8702476,10462314,12554538,11968380,12467368,11684072,10042806,10172922,10271377,11169183,10682160
'88,"Aircraft, spacecraft, and parts thereof",1978757,3731430,4419357,4153290,4830513,5065685,6031588,5727168,4873114,4292750,3683334,7273720,7055787,6907219,6177288,6757083,5118396,6718060,8382593
'94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ...",4407123,4365031,4914914,5423914,5699028,5867036,6018743,6366192,5602155,6231114,7356987,8310085,8171938,8234988,7499107,7627635,7817216,8161514,8354581
'76,Aluminium and articles thereof,4881844,4533671,5456924,6597978,7187147,9507836,10054943,10614046,4998785,8040391,9220225,8276379,7679640,8844401,7964015,6936085,8273635,9350149,8015464
'72,Iron and steel,2481872,2185575,3099048,5262781,6805519,6141474,8300727,11318635,4910610,8501155,11372349,9216011,7384114,8524468,6191534,5690446,7356469,8269296,7725641
'73,Articles of iron or steel,2364314,2455548,2856917,3527064,4260322,5030303,5691382,6232073,5263017,5655955,6901808,7077101,6675056,7103642,6555508,6532124,6700419,7595743,7662603
'28,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ...",2942991,2942735,3464490,4342333,4759090,5522164,6967135,8522384,5527632,7910293,11387865,7757401,6158727,6740922,5958203,5855472,6803494,8537886,7083356
'16,"Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates",3226620,3341845,3320777,4061796,4422455,4597210,4544532,4564112,4659689,5258611,6524830,7046057,6399387,6052871,5640128,5629009,6175732,6588519,6607176
