Code,Product label,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
'27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",51860985,56120645,73055566,99612852,149534898,190010930,216515402,307371505,190171159,262683510,352185423,368853370,372036096,346119387,168737648,134703176,173299849,237591878,220845173
'99,Commodities not elsewhere specified,12356012,9665364,11951349,15655670,19991393,24452955,28442453,34902452,26441099,28770972,41455938,17,0,11646991,55364811,45239262,52887528,63746027,55265424
'72,Iron and steel,5547426,6410897,8375672,15973591,17870944,17852127,21114771,28602694,14724663,18756824,21980053,22607920,20069844,20555655,14911751,14121803,18762190,23357805,18140726
'71,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ...",1137864,3382887,4012057,4934265,1682113,3929010,3674028,4569036,4072886,7283997,3726585,13823062,14301028,11845174,7433037,8905706,11048244,10097534,15258928
'84,"Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof",3314812,2923779,3311807,3723069,4213189,4931533,5881224,7151255,5580509,5283176,5330009,7642193,8867923,9256932,8144186,6800758,8541411,9170893,8991536
'44,Wood and articles of wood; wood charcoal,2463613,2940768,3472459,4522693,5690203,6638727,8850107,7785889,5573371,6093699,6973753,6735497,7330192,7763749,6151899,6523925,7901563,9009169,8619543
'31,Fertilisers,1675983,1646501,1964489,2841225,3881149,4083714,5696830,11832362,5504914,7371152,10077950,11176892,9121229,8988266,8611516,6637347,7217054,8225604,8401891
'10,Cereals,271594,996801,1111652,646358,1350412,1550684,4083868,3254542,3444369,2396097,4438710,6251741,4752137,7086716,5525632,5606085,7527187,10457675,7921429
'76,Aluminium and articles thereof,4434908,3680936,4018642,4838629,5471523,7034198,8147323,8653406,5791207,6668975,7739851,7262288,7124584,6325357,6880992,5980102,6673318,6555519,5839023
'85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",1348997,1217418,1243188,1670601,1851387,2422416,2683080,3271081,2619985,2518089,3306254,4530240,4977307,4929046,3385884,4049924,4321764,4911607,5559090
'74,Copper and articles thereof,1050802,947770,1100812,2092578,2535200,4434484,4658581,4117013,3557625,4922668,4999217,5789902,4964884,4905124,4167354,3312616,4709107,5372205,5222098
'03,"Fish and crustaceans, molluscs and other aquatic invertebrates",390482,383842,408337,326552,456670,526534,517458,471661,1708271,2156506,2378506,2508059,2819062,2868303,2748186,3015282,3482367,4282356,4663054
'26,"Ores, slag and ash",266728,264760,336864,628284,1081921,1054412,1592120,2374813,1176771,2159071,4027534,3888232,3615687,3300515,1935942,2014981,3070402,3672883,4182318
'87,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",874793,1467799,1486518,1936626,2024617,2427454,3117276,3645377,2379938,2201013,3001074,4646993,4821553,3246557,2646716,2563801,3433053,3150857,3758155
'73,Articles of iron or steel,780764,755613,1051927,1446999,1957306,2174033,2494328,3089760,3104040,1392686,2070777,3057776,3439573,3152619,2268970,2263777,3441017,4075683,3718506
'29,Organic chemicals,1126388,1159941,1507930,2204763,2673454,3065939,3679479,3886410,2205446,3128307,4289212,4518102,4600466,4489928,2919419,2409098,3236758,4199559,3674541
'28,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ...",940837,782260,1041523,1414651,1851486,2315503,2608375,3671776,2212541,6478694,7892155,7838650,8035055,5130821,3729496,2385464,2630878,3620239,3453958
'15,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ...,61210,57162,70989,131372,241095,475862,588890,928422,895941,680141,1059169,2256602,2185193,2266295,1828312,2208572,2713699,2669298,3436428
'40,Rubber and articles thereof,591018,658010,875502,1156446,1504562,1863528,2202143,2832160,1858496,2763548,3894949,3954805,3788389,3018825,2418928,2543292,3137653,3162405,3032437
'39,Plastics and articles thereof,561060,490860,521832,688299,717815,843004,1295132,1410407,1276471,1236002,1550603,2096328,2570423,2680924,2258695,2251873,2814439,3172085,3025527
