Code,Product label,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
'84,"Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof",5708156,6873398,8435424,11178236,15713790,21867424,32478746,45942337,27503610,36982516,51672092,57818026,56964844,52105387,33370722,35360934,45287645,43601102,43234882
'85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",3036078,3764049,4391120,6630632,9920678,14874656,22133056,28079147,18506290,25774755,30943135,35592204,35547493,33740293,20603973,21504449,26729655,29911923,29764860
'87,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",1922065,2352469,4008675,7486815,11274163,18673417,33502417,48072195,14161219,22677472,37860472,44604961,40193697,31426474,14928376,15637225,21377659,23623419,23737917
'30,Pharmaceutical products,1801127,1563290,2291929,2857682,4311127,6220579,6696139,9047128,8509911,11124726,13185259,13393868,14552450,12804390,8354620,8908085,10834875,10582372,14068982
'39,Plastics and articles thereof,1113897,1416506,1863834,2338628,3542135,4956119,6741468,8478663,5752980,8125488,10057256,11503318,11466621,11030032,7453769,7541507,8765788,9763106,9830316
'90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ...",1478542,1355279,1815546,2064515,2304045,3910604,5911063,7971272,4855225,5994014,7604435,10515927,8942992,7925091,4957323,5163256,6193061,6747431,7292482
'73,Articles of iron or steel,1109061,1133602,1431952,1984513,2703443,3751089,5580900,6207737,3726004,5900717,7731737,7622162,8185191,6904823,3973071,4148749,5305171,5806474,6489811
'99,Commodities not elsewhere specified,4165674,4184864,5120942,6905884,6112070,8818275,11101463,12898064,13426246,18032012,27569420,1403,287,718674,4327079,6581104,8014821,7053690,6153790
'08,Edible fruit and nuts; peel of citrus fruit or melons,684406,814546,1134366,1566695,2134674,2973035,3738074,4462698,4393760,5471169,6204617,6279814,6401898,5479577,3843854,3830586,4677746,5076953,5098004
'72,Iron and steel,839614,658701,1168400,1855926,2546719,3584049,5722324,6372094,3324630,4410037,6303275,6402580,5891705,5701947,3207932,3032675,4825656,5286728,5027985
'29,Organic chemicals,374519,351192,462424,578203,741883,895006,1210566,1607377,1527251,2162193,3041881,3372556,3329068,3099224,2582447,2742409,3515766,4104333,4445993
'40,Rubber and articles thereof,385645,370073,452795,688348,965913,1301980,1866799,2595250,1630541,2520653,3923399,4787377,4769177,4115755,2632055,2777655,3589054,3873389,3997297
'28,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ...",1462265,1257041,1170095,1350920,1895220,2400492,2796676,3298339,2149894,2366384,2912976,3306835,3508219,3308309,3091925,2584621,2935061,3810320,3801246
'62,"Articles of apparel and clothing accessories, not knitted or crocheted",169265,345868,257765,369979,448454,851380,1656549,2391166,2045033,2971425,3470072,4097249,4124911,4023985,2592471,2700409,3394030,3706899,3790354
'61,"Articles of apparel and clothing accessories, knitted or crocheted",108785,187421,226359,262936,353925,647224,1184733,1834196,1629279,2580650,3271393,4099764,4066353,3724664,2363359,2560676,3181207,3354841,3552005
'33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",521081,691129,933398,1206301,1418707,1784395,2496261,3022837,2604501,3153482,3403735,3656790,3901067,3622859,2531313,2600367,3112753,3338849,3475227
'38,Miscellaneous chemical products,522965,558523,614234,747608,1020760,1163939,1649199,2158757,1705391,2044894,2694298,2864941,3080288,3118497,2559103,2759824,3169271,3391324,3403973
'64,"Footwear, gaiters and the like; parts of such articles",215926,242136,302337,307395,572168,1170070,2143054,2954241,2267089,3904582,4160035,4260688,4577835,3682146,2302516,2352806,3175405,3430479,3393071
'22,"Beverages, spirits and vinegar",544956,626525,900543,1131891,1508845,1509864,2246964,2609962,1775514,2239099,2730405,3095169,3407413,3068432,1742395,1824618,2492662,2681693,3028127
'04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ...",398541,426455,624820,757629,988598,918635,1236841,1563025,1259369,2072525,2172715,3278360,4407646,3824191,1963322,2135136,2630066,2334856,2966997
'94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ...",422467,506067,587121,736971,926451,1301414,2167512,3009680,1998116,2820121,3791879,4498726,4672474,4281270,2290253,1994667,2703110,2872185,2896581
'48,"Paper and paperboard; articles of paper pulp, of paper or of paperboard",1011726,1201787,1492747,1772574,2123088,2546833,3245988,3879868,3289047,3844756,4309085,3748905,3814418,3542706,2250991,2255624,2404796,2653240,2454115
