Code,Product label,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 '84 ,"Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof",144753655,130189193,131032312,135947026,150905240,182034125,198459863,212359665,153167236,182902861,205826160,215180488,213482188,219766259,206219470,190945121,202050364,213377248,205879700
 '27 ,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",12767395,11729396,14164635,19053068,26688458,34940264,42015519,76711358,54936720,81692032,130566668,137332529,148872444,155608248,104627518,94005494,139067570,192681236,199735686
 '85 ,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",122541092,110606975,112774575,124556496,128945179,145832282,148350268,152963347,124872442,151776704,159468543,162434694,165841746,172368327,170010591,166964105,174308725,176302383,173185141
 '88 ,"Aircraft, spacecraft, and parts thereof",44700151,43872773,40807246,53635535,63500882,66753299,75952357,71993164,82957527,79617923,87757246,104440080,114898028,125186257,131660551,134742238,131120940,139438541,136043357
 '87 ,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",59131975,62764305,65566692,73918187,83686790,92702820,106993538,111457202,73601862,99148693,120011781,133078053,134084552,135972388,127393132,124702177,130394073,130730673,133040764
 '90 ,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ...",44236532,41168421,44067513,50443134,54392916,61891052,66274998,70620277,65076438,73960067,79383779,83367062,84353330,84966350,83443133,82016451,83645283,89646001,90782755
 '39 ,Plastics and articles thereof,26545648,27186973,28935186,33834387,38254439,42712143,47858263,51220849,42795066,53625263,58743605,59006434,60980811,63037374,60348173,58628345,61937428,66556823,64904031
 '71 ,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ...",14642622,13496098,15189649,18055549,22013969,31427667,40446158,50899446,38414676,51742636,71785843,72106219,71641926,64089621,58746524,57780402,60258627,63795840,59609828
 '30 ,Pharmaceutical products,12464559,13080142,15942871,19598014,21717180,25236280,29099708,34113362,40668566,40788230,38341461,40129283,39708541,43995520,47096143,46828627,44934808,48345553,53561670
 '99 ,Commodities not elsewhere specified,23320469,22002662,21895125,23163646,25125553,29305260,33990058,37392843,30750044,40373872,39377993,40638745,42135938,43237139,41443668,40131229,42447292,46153461,48439559
 '29 ,Organic chemicals,19129825,19420304,23239553,30377562,30833936,33654324,37678596,37750913,30796713,40928207,45682440,46079295,46600465,42340487,38703318,33956461,36279699,40339201,39327263
 '38 ,Miscellaneous chemical products,10556133,10575809,11331078,12571954,13798086,15637575,18112918,22420196,18126581,21197593,23881042,25327714,27028664,27259322,25917094,25317150,27678321,30298014,31065801
 '12 ,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ...",6850611,7451090,9664615,8671437,8374450,9119053,12672833,18672011,19558426,21959179,21231784,29688507,26955339,28862025,23614148,27718131,26393625,22421640,23892195
 '73 ,Articles of iron or steel,8312611,8017369,8176371,9444121,11303473,13490562,14872820,17720371,13797469,16197384,18519857,21154320,22056098,22628933,19636143,17517569,18440959,19257991,18687072
 '02 ,Meat and edible meat offal,6799217,5912114,6772471,4777360,6088812,6593168,8343673,11679211,10566930,12051903,15357261,16096227,16276932,17570517,14288028,14657760,16397307,17268856,17661593
 '10 ,Cereals,9632725,10275112,10629349,13124496,11415675,13525652,21119589,28948701,17419347,20036820,28347941,20616227,20300976,22850742,18816090,18938198,18595043,21028435,16881209
 '08 ,Edible fruit and nuts; peel of citrus fruit or melons,4049642,4241676,4764423,5385728,6413083,6839403,7419688,8548688,8708545,10142479,11767712,13263744,14533192,14858265,14458665,14054421,14876937,14694470,15089573
 '48 ,"Paper and paperboard; articles of paper pulp, of paper or of paperboard",10874346,10334964,10640990,11521067,12368868,13216633,14337359,15556986,13674318,15784737,16945425,16057949,16400341,16337334,15696701,14864640,15766204,16393727,15066619
 '72 ,Iron and steel,4985891,4988256,6634306,8971270,11400075,12621402,17097396,23834675,15399594,19825320,25361376,22838006,19681569,18565400,14545552,12871594,16105571,16496255,14378702
 '33 ,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",4383466,4425927,4933162,5536132,6053609,6717631,7613509,8484091,8087629,9094029,9633633,10452105,11133099,11551622,11807077,12049254,12954809,13620462,13857683
 '40 ,Rubber and articles thereof,6662091,6456377,6630714,7563879,8511643,9646197,10726524,11501348,9607179,12121181,14889441,15724935,14789369,14923993,13619469,12595899,13437632,13977983,13206985
 '97 ,"Works of art, collectors' pieces and antiques",4069820,2558346,2737256,3518848,4314460,5570748,7024254,8008232,6498403,6452107,6909174,7387629,7698714,10192997,11030594,11216594,11737081,14558765,12950378
 '28 ,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ...",6114832,5931777,6110417,6846311,8633559,10047804,11655952,13709450,10963755,12853530,15295629,13658258,12435825,12665078,12366194,11314401,12391128,12462653,11474937
 '76 ,Aluminium and articles thereof,4973167,4923054,4993940,5990312,7511239,10100968,11097154,11942021,8362993,10625016,12975642,12783556,13053200,12736128,12045861,12237317,11587882,12586587,10937898
 '23 ,Residues and waste from the food industries; prepared animal fodder,4109442,3628701,3626134,3499116,3693199,4141677,5073689,7174188,7165913,8332980,8550403,9908645,11780243,11957905,11262760,9892612,9567882,11140454,10430282
 '94 ,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ...",6106520,5727007,5649621,6157389,6696443,7559253,8271002,8973075,7001328,8591937,9552824,10622790,11103952,11843287,11554933,11017358,10811233,10840474,10219950
 '21 ,Miscellaneous edible preparations,2794331,2865543,3149130,3428695,3800268,4308322,4393958,4997923,4994052,5535698,6253897,7118792,8006721,8344424,8242842,8634511,8508529,8921292,9374196
 '47 ,Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or ...,3760628,3946865,4207399,4610829,5201428,5861108,7062491,7940856,6801433,8861532,10102766,9311759,8965490,8967772,8703862,8432311,8764639,9413218,8518120
 '44 ,Wood and articles of wood; wood charcoal,5253677,5100131,5182426,5892661,6129831,6537370,6823154,6783669,5451492,7076309,7914476,7890641,8963664,9745328,8927875,9022248,9775268,9868269,8280269
 '22 ,"Beverages, spirits and vinegar",1791883,1766536,2002666,2265015,2305388,2696847,3411882,3798018,3601291,4712807,7814659,6887352,6951945,7626449,7554348,7709180,8303568,8710334,8276005
 '52 ,Cotton,4029171,3982423,5218009,6376838,5903846,6465585,6371234,6643917,4924276,7544221,11067177,8284412,7636779,6521498,5873296,5694143,7635374,8377508,7905838
 '32 ,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring ...",3984901,4074693,4367478,4773877,5132342,5535777,5987290,6447642,5739488,7629810,8826328,8161700,7825310,7966092,7591333,7440857,7858616,7991054,7548291
 '26 ,"Ores, slag and ash",1145584,1112120,1267564,1790679,3474646,4781275,5833835,6487638,3496874,5558831,7700074,7019870,7321029,8362920,6810950,5705531,6011334,6755041,7379677
 '74 ,Copper and articles thereof,2115725,2089121,2492093,3438659,3890937,6597591,7218936,7214629,5053938,7886532,9654623,9695969,9120831,8664748,7074162,6314653,7183450,8415635,7313542
 '34 ,"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial ...",2380361,2466533,2758793,3236032,3493580,4008063,4410588,5262575,5013115,5861893,6476646,6860866,7116871,7380187,7109272,6960402,7211159,7267100,6927242
 '95 ,"Toys, games and sports requisites; parts and accessories thereof",3854514,3639968,3967912,4240998,4697630,5524863,7301113,7859598,6961581,6928635,7202434,7056864,6734939,6594989,6198172,6231103,6904767,6782922,6386769
 '93 ,Arms and ammunition; parts and accessories thereof,2167560,2095648,1786510,2302295,2271276,2946085,3208675,3180202,3434293,3976384,3936050,4055539,4634801,4550285,5018020,5402536,5284110,5568373,6124801
 '70 ,Glass and glassware,3804353,3447195,3581134,3608002,3662796,4445368,4829428,5088109,4144818,4996741,5338932,5295622,5602321,5780073,5786123,5762657,5828961,5810649,5540935
 '83 ,Miscellaneous articles of base metal,3032384,3032319,3055570,3281494,3423121,3751760,3911091,3872827,3200935,3749441,4138513,4406693,4615521,4929546,4866532,4851178,4853290,5124029,5181124
 '04 ,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ...",828540,688019,758298,1183553,1331042,1525090,2509820,3303238,1948772,3223273,4113779,4252530,5770114,6164740,4448520,3904739,4477031,4620096,4968490
 '20 ,"Preparations of vegetables, fruit, nuts or other parts of plants",2100997,2130927,2107467,2210584,2416300,2710446,3020823,3638312,3499099,3778291,4404190,4750359,5071678,5193694,5425765,5058994,4990162,5076749,4965144
 '03 ,"Fish and crustaceans, molluscs and other aquatic invertebrates",2842375,2759118,2928118,3310488,3680140,3840243,3865503,3799671,3527225,4028222,5082222,5024709,5134103,5256621,5088471,4968660,5392735,5252381,4878738
 '07 ,Edible vegetables and certain roots and tubers,1869025,1927826,2045684,2170072,2431676,2680588,3009946,3467752,3400734,3784500,3939248,4044614,4404553,4511544,4362779,4690218,4785984,4504136,4685873
 '82 ,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",2868314,2796085,2874859,3211884,3460966,3864732,4202862,4703519,3700672,4711937,5392655,5464842,5496735,5459301,4958963,4581990,4651642,4828641,4618317
 '49 ,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, ...",4556875,4242184,4413928,4685685,5195643,5494045,5945448,6143855,5462313,5758556,5747146,5700094,5580854,5218463,4860784,4565228,4455749,4335862,4226353
 '19 ,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1493454,1469697,1587586,1766653,1972728,2060772,2329133,2783343,2850693,3087156,3505309,3887706,4194044,4254565,4279759,4055684,4066083,4160940,4224980
 '31 ,Fertilisers,2243138,2273167,2549022,2826490,3287511,3169654,3741922,7503477,4131895,4667398,6308950,5378725,5022082,4632289,4394563,3409460,3771414,4158427,4134411
 '68 ,"Articles of stone, plaster, cement, asbestos, mica or similar materials",1253367,1250012,1380025,1669158,1982185,2394058,2548954,2616775,2150643,2829961,3174045,3343968,3512027,3862985,3868754,3875365,3956077,4101523,4017208
