Code,Product label,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
'71,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ...",18244413,18134261,23621022,23023686,21030169,35334200,22475199,54403558,54853546,55965841,71088573,83829304,36832533,36088166,32072910,70819612,49630379,40140780,89181482
'84,"Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof",55323952,55833525,59687006,69331488,73308598,77826647,87012328,84729958,63300536,71761230,80296193,75679533,79287089,85515717,77685927,76132847,79931285,86138405,84163762
'87,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",44425235,50265308,59419621,68534052,64650813,71527724,83600709,70467496,46220785,60162425,69497459,59815133,66131322,76382456,78111171,74176909,73446103,75082615,74838751
'85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",45905436,41620138,46481872,57504498,59793815,77827174,68269602,66389385,54770694,61475857,64226268,55966317,58777172,61616514,60562037,57569288,60035770,63561741,61723309
'27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",14704374,14869204,18650555,30080101,44810659,58171942,64435609,87287933,50292069,63413681,91609952,95395963,88193719,81005575,50956567,39729084,51655154,67256741,56138475
'30,Pharmaceutical products,8654813,10672196,13176207,15439622,15301372,17011717,20253300,20117739,20552307,23567938,26031638,26877231,27728498,33727712,33744349,32754073,33093224,30268870,27943998
'90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ...",11899384,11526021,12708871,15351809,15892335,17042538,16357801,16857344,14872002,15486956,16631456,16438239,17784607,19026017,18391558,17459962,17768742,18725169,19082768
'39,Plastics and articles thereof,9248567,9856542,11646246,13829305,14695847,18294517,17951151,18032048,14348785,16779447,19211281,17393343,18852526,20129584,17905439,17122099,18440248,19451946,18877243
'61,"Articles of apparel and clothing accessories, knitted or crocheted",6849533,7866650,8876349,10309027,10843587,11544506,12764769,13076874,11925679,12654778,13844268,11958431,12830510,14045357,13395654,12434889,12504993,13048094,13013786
'62,"Articles of apparel and clothing accessories, not knitted or crocheted",7868680,8938095,10471787,11816838,12480036,13186132,14447694,14324246,12755858,12504612,14154250,11796526,12192893,13507497,13134538,12081878,11730327,11959083,11895462
'94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ...",4701890,5864700,7154730,8992336,8963694,9673389,11633626,11752364,8791561,9679978,9795031,9209306,9873893,11396574,11459378,11110964,11585995,11779566,11894818
'73,Articles of iron or steel,3959279,4344523,5219068,6327416,7235257,7994451,10379899,10078329,6979034,7981377,9363577,8544554,9106665,10096508,9076876,8554815,8966372,12132593,11254187
'88,"Aircraft, spacecraft, and parts thereof",11744605,12841151,12395453,11527805,13083198,15550243,8102,17705499,16822215,20757062,10497009,13096964,15166667,16978232,15898654,18709063,14971661,11191945,10792916
'99,Commodities not elsewhere specified,5188827,2625357,3066771,3785861,3818149,4255895,40748041,5703764,4851461,4971254,6959212,7639649,6719949,9489171,5601171,10741761,10106466,14038952,10314980
'29,Organic chemicals,8828338,9497576,10932281,13454992,14008151,14941650,18202714,16602463,13811557,15448235,17061170,16695921,13011395,11372741,9818419,8632995,9809030,10680976,10141630
'22,"Beverages, spirits and vinegar",5338959,5648140,6463620,7686874,8001460,8298983,9394417,9338002,8101552,8239606,9313676,8428236,8970946,9014696,8382398,7850104,7792655,8270176,8281469
'48,"Paper and paperboard; articles of paper pulp, of paper or of paperboard",7763301,7705598,8589868,9699255,9620859,10128853,11391437,10808991,9288168,10118794,10256621,8618816,8737462,9201128,8212681,7375625,7219579,7970815,7513546
'44,Wood and articles of wood; wood charcoal,3850324,4321584,4983866,5679805,5845651,5945779,7440909,6195685,4576367,5298918,5345384,4888318,5765455,6982921,6916853,6619549,6940900,7654427,7416429
